201018,28512,BMLFUW-UW.1.3.2/0030-V/4/2011,2010-01-01,,,,,ISK,2012,2015,-,,-,-,AT,,,10-Aircraft operator activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8369,16376,16376,16376,16376,A,7802,16656,,0,0,A,7802,13471,30127,30127,30127,A,7802,15330,,30127,Not Calculated,C*,0,,13410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Glanzstoff St. Pölten,ICH105,2005-01-25,2013-03-13,,,1032610564,2005,2012,Herzogenburgerstrasse 69,,3100,St. Pölten,AT,,,1-Combustion installations with a rated thermal input exceeding 20 MW,60878,59801,59801,59801,59801,A,60878,51694,51694,111495,111495,A,60878,46013,46013,157508,157508,A,60346,25481,25481,25481,25481,A,60346,3054,3054,28535,28535,A,60346,3090,3090,31625,31625,A,60346,3049,3049,34674,34674,A,60346,1672,1672,36346,36346,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,CMOÖ GuD Anlage Laakirchen,IPA102,2005-04-14,,,,20000.00183,2005,0,Schillerstrasse 5,,4663,Laakirchen,AT,,,20-Combustion of fuels,253605,243736,243736,243736,243736,A,253605,223958,223958,467694,467694,A,253605,234895,234895,702589,702589,A,243831,240789,240789,240789,240789,A,243831,234321,234321,475110,475110,A,243831,236053,236053,711163,711163,A,243831,238288,238288,949451,949451,A,243831,227591,227591,1177042,1177042,A,5743,159977,159977,159977,159977,A,5140,129499,129499,289476,289476,A,4553,116886,116886,406362,406362,A,3985,137345,137345,543707,543707,A,3435,137915,137915,681622,681622,A,2903,180671,180671,862293,862293,A,2388,214667,214667,1076960,1076960,A,1892,177542,177542,1254502,1254502,A,2272,208414,208414,208414,208414,A,2214,,,,,,2156,,,,,,2097,,,,,,2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Zementwerk Hatschek GmbH,IZE077,2004-01-01,,,,20000.00382,2005,0,Hatschekstrasse 25,,4810,Gmunden,AT,,,29-Production of cement clinker,343437,369924,369924,369924,369924,A,343437,397422,397422,767346,767346,A,343437,397936,397937,1165283,1165282,A,333309,385307,385307,385307,385307,A,333309,356692,356692,741999,741999,A*,392937,310139,310139,1052138,1052138,A,354992,327781,327781,1379919,1379919,A,354992,344237,344237,1724156,1724156,A,355431,281768,281768,281768,281768,A,349257,331127,331127,612895,612895,A,343011,328182,328182,941077,941077,A,336700,331383,331383,1272460,1272460,A,330320,367391,367391,1639851,1639851,A,323879,328580,328580,1968431,1968431,A,317358,253322,253322,2221753,2221753,A,310813,373604,373604,2595357,2595357,A,289845,377113,377113,377113,377113,A,338477,,,,,,338477,,,,,,338477,,,,,,338477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,F.M. Hämmerle Dornbirn,ICH203,2004-01-02,2014-04-26,,,,2005,2011,Eisengasse 44,,6850,Dornbirn,AT,,,1-Combustion installations with a rated thermal input exceeding 20 MW,12899,9561,9561,9561,9561,A,12899,9125,9125,18686,18686,A,12899,9501,9501,28187,28187,A,9981,7407,2370,2370,7407,B*,9981,3495,3495,5865,10902,B,9981,3896,3896,9761,14798,B,9981,919,919,10680,15717,B,0,Not Reported,,0,Not Calculated,C,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Energie Steiermark - FHKW Thondorf,EFE038,2004-01-01,,,,20000.00720,2005,0,Liebenauer Hauptstraße 317,,8041,Graz,AT,,,20-Combustion of fuels,96790,91548,91548,91548,91548,A,96790,66583,66583,158131,158131,A,96790,83979,83979,242110,242110,A,89789,56233,56233,56233,56233,A,89789,57343,57343,113576,113576,A,89789,67935,67935,181511,181511,A,89789,61734,61734,243245,243245,A,89789,47954,47954,291199,291199,A,17417,28440,28440,28440,28440,A,3897,15358,15358,43798,43798,A,0,14399,14399,58197,58197,A,0,14075,14075,72272,72272,A,0,16682,16682,88954,88954,A,0,15204,15204,104158,104158,A,0,14593,14593,118751,118751,A,0,13941,13941,132692,132692,A,33,15561,15561,15561,15561,A,33,,,,,,32,,,,,,31,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,FunderMax Wr. Neudorf,ICH113,2004-01-02,,,,1034010288,2005,0,IZ NÖ-Süd,,2355,Wiener Neudorf,AT,,,20-Combustion of fuels,24003,29943,29943,29943,29943,A,24003,34345,34345,64288,64288,A,24003,33272,33272,97560,97560,A,27343,23865,23865,23865,23865,A,27343,24304,24304,48169,48169,A,27343,25117,25117,73286,73286,A,27343,25940,25940,99226,99226,A,27343,25475,25475,124701,124701,A,26223,30819,30819,30819,30819,A,25697,29079,29079,59898,59898,A,25167,28969,28969,88867,88867,A,24636,30222,30222,119089,119089,A,24102,30088,30088,149177,149177,A,23566,30922,30922,180099,180099,A,23026,33020,33020,213119,213119,A,22488,32040,32040,245159,245159,A,24644,35920,35920,35920,35920,A,25877,,,,,,25877,,,,,,25877,,,,,,25877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Ziegelwerk Danreiter Ried im Innkreis,IZI155,2004-01-01,,,,20000.00427,2005,0,Rabenberg 11,,4910,Ried,AT,,,32-Manufacture of ceramics,7397,5855,5855,5855,5855,A,7397,3500,3500,9355,9355,A,7397,4346,4346,13701,13701,A,5927,3670,3670,3670,3670,A,5927,2904,2904,6574,6574,A,5927,2861,2861,9435,9435,A,5927,4162,4162,13597,13597,A,5927,4082,4082,17679,17679,A,3494,4017,4017,4017,4017,A,3434,3064,3064,7081,7081,A,3373,3075,3075,10156,10156,A,3311,3436,3436,13592,13592,A,3248,3487,3487,17079,17079,A,3185,3738,3738,20817,20817,A,3120,5129,5129,25946,25946,A,3056,5548,5548,31494,31494,A,4415,5611,5611,5611,5611,A,4572,,,,,,4572,,,,,,4572,,,,,,4572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,DSM Fine Chemicals Austria Linz,ICH112,2006-03-29,2020-01-02,,,20000.00019,2005,2020,St. Peter-Strasse 25,,4020,Linz,AT,,,20-Combustion of fuels,32491,30883,30883,30883,30883,A,32491,23660,23660,54543,54543,A,32491,25366,25366,79909,79909,A,31421,31412,31412,31412,31412,A,31421,30236,30236,61648,61648,A,32432,21485,21485,83133,83133,A,32479,18911,18911,102044,102044,A,31830,22732,22732,124776,124776,A,90297,94294,94294,94294,94294,A,88729,94318,94318,188612,188612,A,87142,93010,93010,281622,281622,A,85539,8373,8373,289995,289995,A,13237,9051,9051,299046,299046,A,12980,8695,8695,307741,307741,A,12718,9459,9459,317200,317200,A,12455,9683,9683,326883,326883,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Metadynea Austria - Krems,ICH108,2005-08-08,,,,101601034,2005,0,Hafenstrasse 77,,3500,Krems,AT,,,42-Production of bulk chemicals,1526,1371,1371,1371,1371,A,1526,1231,1231,2602,2602,A,1526,644,644,3246,3246,A,1408,1203,1203,1203,1203,A,1408,855,855,2058,2058,A,1408,404,404,2462,2462,A,1408,264,264,2726,2726,A,1408,320,320,3046,3046,A,19446,16663,16664,16664,16663,A*,19109,17923,17922,34586,34586,A,18767,18161,18161,52747,52747,A,18422,18188,18188,70935,70935,A,18073,20052,20052,90987,90987,A,17720,20139,20139,111126,111126,A,17363,20111,20111,131237,131237,A,17005,19961,19961,151198,151198,A,16330,20793,20793,20793,20793,A,15830,,,,,,15830,,,,,,15830,,,,,,15830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Kaindl Holzindustrie Wals,IHO192,2004-01-01,,,,20000.00484,2005,0,Kaindlstrasse 2,,5071,Wals,AT,,,20-Combustion of fuels,61559,78296,78296,78296,78296,A,61559,72808,72808,151104,151104,A,61559,73987,73987,225091,225091,A,90752,70919,70919,70919,70919,A,90752,56220,56220,127139,127139,A,90752,59204,59204,186343,186343,A,90752,49880,49880,236223,236223,A,90752,45801,43123,279346,279346,A*,145063,40234,42912,42912,40234,A,142542,25262,25262,68174,65496,A,91990,20813,20813,88987,86309,A,80485,17666,17666,106653,103975,A,69335,19581,19581,126234,123556,A,58545,20301,20301,146535,143857,A,48105,18432,18432,164967,162289,A,38056,17640,17640,182607,179929,A,91933,25834,25834,25834,25834,A,100270,,,,,,100270,,,,,,100270,,,,,,100270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
