Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
FR155081,3-0,2010-04-29 11:21:34.788,Completed,France,121,SAGACARBON SERINGAS 24,1365,SAGACARBON,Bulgaria,120,BRIKEL,35,BRIKEL EAD,183,Details
GB37627,3-0,2010-04-29 11:21:29.385,Completed,United Kingdom,121,Newedge Group (UK Branch),950,Newedge Group (UK Branch),Denmark,121,EBL Trading DK:DK388,388,Jeroen Brandehof,40000,Details
ES1041029,10-2,2010-04-29 11:21:23.575,Completed,Spain,120,Central de Cogeneración Aeropuerto Barajas,718,"SAMPOL INGENIERÍA Y OBRAS, S.A.",Spain,100,Cuenta de entrega fase 2008-2012,3,Oficina Española de Cambio Climático,104634,Details
PL15080,10-2,2010-04-29 11:21:15.715,Completed,Poland,120,CIEPŁOWNIA C-2,812,Miejski Zakład Gospodarki Komunalnej Spółka z o.o.,Poland,100,Krajowy rachunek umorzenia,3,POLSKA,2478,Details
GR4574,10-2,2010-04-29 11:21:10.776,Completed,Greece,120,DOUKERLTD,100,ΑΠ.ΔΟΥΚΕΡΗΣ & ΥΙΟΣ Ε.Π.Ε.,Greece,100,GEDE,9,ΥΠΟΥΡΓΕΙΟ ΠΕΡΙΒΑΛΛΟΝΤΟΣ-ΥΠΕΚΑ MINISTRY FOR THE ENVIRONMENT,6425,Details
IT20225,10-0,2010-04-29 11:20:52.26,Completed,Italy,100,NHA reserve,1,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Italy,,,,,41205,Details
FR155080,10-0,2010-04-29 11:20:51.385,Completed,France,121,PURACTION SRL,1527,RACCA,France,121,BlueNext Détention,1351,BlueNext SA,25000,Details
FR155079,10-0,2010-04-29 11:20:49.6,Completed,France,121,BlueNext Détention,1351,BlueNext SA,France,121,FIVE RINGS CAPITAL LLC,1505,MCCARTHY,20000,Details
FR155078,10-0,2010-04-29 11:20:43.029,Completed,France,121,BlueNext Détention,1351,BlueNext SA,France,121,FIVE RINGS CAPITAL LLC,1505,MCCARTHY,10000,Details
FR155077,3-0,2010-04-29 11:20:29.353,Completed,France,121,EDELWEISS-BLUENEXT,1382,CALVI,Italy,121,Ecoway IT 1,2311,EcoWay S.r.l.,3,Details
GB37626,10-2,2010-04-29 11:20:05.103,Completed,United Kingdom,120,MIC Trading Account,1454,Tronox Pigment UK Limited,United Kingdom,,,,,94961,Details
FR155076,3-0,2010-04-29 11:19:53.048,Completed,France,121,SAGACARBON SERINGAS 24,1365,SAGACARBON,Bulgaria,120,BRIKEL,35,BRIKEL EAD,5000,Details
PL15079,10-2,2010-04-29 11:19:39.481,Completed,Poland,120,CIEPŁOWNIA,774,PECiGW-Ś Sp. z o.o.,Poland,100,Krajowy rachunek umorzenia,3,POLSKA,3723,Details
PL15078,10-2,2010-04-29 11:19:23.912,Completed,Poland,120,CIEPŁOWNIA C-2,812,Miejski Zakład Gospodarki Komunalnej Spółka z o.o.,Poland,100,Krajowy rachunek umorzenia,3,POLSKA,2000,Details
IT20224,10-0,2010-04-29 11:19:22.287,Completed,Italy,100,NHA reserve,1,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Italy,,,,,13482,Details
DE96628,10-0,2010-04-29 11:19:15.593,Completed,Germany,121,1899 - Vattenfall Energy Trading GmbH,1899,Vattenfall Energy Trading GmbH,Germany,121,1956 - Vattenfall Europe Gen. AG,1956,Lausitz Energie Kraftwerke AG,578085,Details
FR155075,3-0,2010-04-29 11:19:02.602,Completed,France,121,EDELWEISS-BLUENEXT,1382,CALVI,Italy,121,Ecoway IT 1,2311,EcoWay S.r.l.,6,Details
NO799,10-0,2010-04-29 11:18:34.369,Completed,Norway,121,Eidsiva Marked,191,Eidsiva Marked AS,Norway,,,,,1999,Details
FR155074,10-0,2010-04-29 11:18:33.601,Completed,France,121,A2A T,1224,BENIGNI,France,121,BlueNext Détention,1351,BlueNext SA,20000,Details
