Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU507918,10-0,2019-04-09 10:09:02.555,Completed,United Kingdom,100,Mitsui Bussan Commodities Ltd,5017395,Mitsui Bussan Commodities Ltd,Czech Republic,100,CZT Příbram,5006948,Výroba a prodej tepla Příbram a.s.,6000,Details
EU508634,10-0,2019-04-09 10:08:54.364,Completed,France,100,COLAS,5023028,COLAS,France,100,PROVENCE ENROBES,5022252,PROVENCE ENROBES,1900,Details
EU508643,10-0,2019-04-09 10:08:32.224,Completed,France,100,COLAS,5023028,COLAS,Belgium,100,398 Centrale d'enrobage Ascovil,5022058,ASCOVIL,3252,Details
EU508826,10-0,2019-04-09 10:08:19.324,Completed,Germany,100,Advantag Services GmbH,5022399,Advantag Services GmbH,Germany,100,1425 - Anlagenkonto,5014783,Stadtwerke Heidelberg Umwelt GmbH,2000,Details
EU508861,10-0,2019-04-09 10:07:56.826,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Ireland,100,ASL Airlines (Ireland) Limited,5000840,ASL Airlines (Ireland) Limited,5000,Details
EU508848,10-0,2019-04-09 10:07:24.743,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Portugal,100,Transportes Aéreos de Cabo Verde,5020007,"Transportes Aéreos de Cabo Verde, SA",170,Details
EU508637,10-0,2019-04-09 10:06:26.033,Completed,France,100,COLAS,5023028,COLAS,Belgium,100,403 COLAS BELGIUM SA - Agence LEF,5022300,COLAS BELGIUM,3104,Details
EU508635,10-0,2019-04-09 10:06:24.209,Completed,France,100,COLAS,5023028,COLAS,France,100,Société Parisienne de Matériaux Enrobes SPME,5022506,Société Parisienne de Matériaux Enrobés SPME,1925,Details
EU504423,10-0,2019-04-09 10:05:58.62,Completed,Austria,100,Allocated banked EUA AZ,5022557,AGRANA Zucker GmbH,Austria,100,Agrana Tulln,5004041,AGRANA Zucker GmbH,6542,Details
EU508729,10-0,2019-04-09 10:05:50.764,Completed,Germany,100,Delphi#42119,5023802,Aptiv Services Deutschland GmbH,Germany,100,WSW Energie & Wasser AG - Personenkonto,5015476,WSW Energie & Wasser AG,2946,Details
EU508632,10-0,2019-04-09 10:05:35.547,Completed,France,100,COLAS,5023028,COLAS,Denmark,100,"Colas, Sundsholmen:DK448",5006279,COLAS DANMARK A/S,2060,Details
EU508641,10-0,2019-04-09 10:05:02.659,Completed,France,100,COLAS,5023028,COLAS,Belgium,100,382 VBG,5022317,Colas Noord,2557,Details
EU508857,10-0,2019-04-09 10:04:45.296,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Poland,100,Ciepłownia Centralna,5003654,Ciepłownia Sierpc Sp.z o.o.,1000,Details
EU508624,10-0,2019-04-09 10:04:34.805,Completed,Bulgaria,100,Zagora Finacorp Jsc.,5027231,Zagora Finacorp Jsc.,Bulgaria,100,"""TOPLOFICATSIA-VRATSA"" EAD OTs ""MLADOST""",5016138,TOPLOFIKATSIA – VRATSA EAD,10500,Details
EU508618,10-0,2019-04-09 10:04:33.079,Completed,Bulgaria,100,Zagora Finacorp Jsc.,5027231,Zagora Finacorp Jsc.,Bulgaria,100,TOPLOFIKATSIA – VRATSA TETs GRADSKA,5016139,“ TOPLOFIKATSIA – VRATSA” EAD,21500,Details
EU508907,10-0,2019-04-09 10:04:24.837,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Italy,100,Granarolo Usmate Velate,5013294,Granarolo SpA,500,Details
EU508851,10-0,2019-04-09 10:03:56.848,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Hungary,100,Operator Account:HU65,5011702,ISD POWER Energiatermelo és Szolgáltató Kft.,10000,Details
EU508704,10-0,2019-04-09 10:03:55.555,Completed,Italy,100,A2A S.P.A.,5025361,A2A SPA,Italy,100,Famagosta,5012767,A2A CALORE & SERVIZI Srl,20695,Details
EU508633,10-0,2019-04-09 10:03:32.991,Completed,France,100,COLAS,5023028,COLAS,France,100,quotas CO2 FERA 69,5022872,COLAS RHONE ALPES AUVERGNE,1998,Details
EU508867,10-0,2019-04-09 10:03:31.93,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Italy,100,FERRIERA VALSIDER SPA,5022056,FERRIERA VALSIDER SPA,2736,Details
