Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU499839,10-71,2019-03-22 13:04:22.021,Completed,Spain,100,"Bestile, S.L.",5017747,"Bestile, S.L.",European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,299,Details
EU499796,10-0,2019-03-22 13:04:21.791,Completed,Germany,100,Commerzbank AG - Trading Account,5016810,COMMERZBANK Aktiengesellschaft,Germany,100,1758 - Anlagenkonto,5015262,"Stadtwerke - Altmärkische Gas-, Wasser- und Elektrizitätswerke GmbH Stendal",5000,Details
EU499083,10-2,2019-03-22 13:03:11.84,Completed,Finland,100,SVA5:FI327,5010383,Oy Turku Energia Åbo Energi Ab,European Commission,100,EU Allowance deletion,5016380,European Commission,136,Details
EU498914,10-0,2019-03-22 13:02:06.847,Completed,United Kingdom,100,Ahlstrom-Munksjo Chirnside Limited,5007809,Ahlstrom-Munksjo Chirnside Limited,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,14410,Details
EU499800,10-0,2019-03-22 13:01:58.421,Completed,Germany,100,Commerzbank AG - Trading Account,5016810,COMMERZBANK Aktiengesellschaft,Poland,100,mBank S.A.,5023148,mBank S.A.,5000,Details
EU499086,10-2,2019-03-22 13:01:11.194,Completed,Finland,100,KKL:FI328,5010384,Oy Turku Energia Åbo Energi Ab,European Commission,100,EU Allowance deletion,5016380,European Commission,6217,Details
EU499844,10-2,2019-03-22 12:59:58.344,Completed,Italy,100,CANDEGGIO LA BRIANTEA SRL,5013016,CANDEGGIO LA BRIANTEA SRL,European Commission,100,EU Allowance deletion,5016380,European Commission,4804,Details
EU499088,10-2,2019-03-22 12:59:19.964,Completed,Finland,100,LLV:FI329,5010385,Oy Turku Energia Åbo Energi Ab,European Commission,100,EU Allowance deletion,5016380,European Commission,6255,Details
EU499806,10-0,2019-03-22 12:58:48.333,Completed,Germany,100,Commerzbank AG - Trading Account,5016810,COMMERZBANK Aktiengesellschaft,Germany,100,TRIMET Aluminium SE,5018049,TRIMET Aluminium SE,5000,Details
EU499770,10-2,2019-03-22 12:57:55.839,Completed,France,100,RAYONIER A.M TARTAS,5005955,RAYONIER A.M TARTAS,European Commission,100,EU Allowance deletion,5016380,European Commission,15272,Details
EU499089,10-2,2019-03-22 12:57:35.133,Completed,Finland,100,ORK:FI330,5010386,Turun Seudun  Energiantuotanto Oy,European Commission,100,EU Allowance deletion,5016380,European Commission,228,Details
EU499618,10-2,2019-03-22 12:56:36.569,Completed,Finland,100,Pankakosken tehtaat:FI414,5010470,Pankakoski Mill Oy,European Commission,100,EU Allowance deletion,5016380,European Commission,7550,Details
EU499856,10-2,2019-03-22 12:56:29.462,Completed,Italy,100,Operator Account,5012817,CALCISERNIA S.P.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,43074,Details
EU499090,10-2,2019-03-22 12:55:52.646,Completed,Finland,100,"SVA1,3,4:FI331",5010387,Oy Turku Energia Åbo Energi Ab,European Commission,100,EU Allowance deletion,5016380,European Commission,1,Details
EU498911,10-0,2019-03-22 12:54:41.087,Completed,Hungary,100,Operator Account:HU48,5011687,Dunacell Dunaújvárosi Cellulózgyár Kft.,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,10000,Details
EU499853,10-0,2019-03-22 12:54:27.434,Completed,United Kingdom,100,Morgan Stanley Capital Group Inc,5017295,Morgan Stanley Capital Group Inc,France,100,MORGAN STANLEY CAPITAL GROUP INC,5027682,MORGAN STANLEY CAPITAL GROUP INC,25000,Details
EU499091,10-2,2019-03-22 12:54:23.672,Completed,Finland,100,SWT:FI332,5010388,Oy Turku Energia Åbo Energi Ab,European Commission,100,EU Allowance deletion,5016380,European Commission,245,Details
EU499859,10-72,2019-03-22 12:54:23.668,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Italy,100,ZML_ET,5021909,ZML Industries SpA,3780,Details
EU498576,10-71,2019-03-22 12:53:15.382,Completed,Italy,100,ZML_ET,5021909,ZML Industries SpA,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,3780,Details
EU499843,10-0,2019-03-22 12:52:27.908,Completed,Spain,100,Wind to Market SA,5017211,"WIND TO MARKET, S.A.",Spain,100,"Mateos, S.L.",5009516,"Mateos, S.L.",1500,Details
