Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU499574,10-36,2019-03-22 01:33:13.013,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Atlantic Copper, S.L.U.",5009175,"Atlantic Copper, S.L.U.",77148,Details
EU499327,10-36,2019-03-22 01:33:12.793,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Keravan biovoimalaitos:FI778,5010749,Keravan Lämpövoima Oy,31376,Details
EU499297,10-36,2019-03-22 01:33:12.737,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Grupo Empresarial Palacios Alimentación, S.A.",5009065,"Grupo Empresarial Palacios Alimentación, S.A.",3039,Details
EU499422,10-36,2019-03-22 01:33:12.693,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Cerámicas Belcaire, S.A.",5018606,"Cerámicas Belcaire, S.A.",27005,Details
EU499298,10-36,2019-03-22 01:33:12.69,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Hämeenlinnan tehdas:FI374,5010430,SSAB Europe Oy,85318,Details
EU499569,10-36,2019-03-22 01:33:12.572,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"ENAGAS TRANSPORTE, S.A.U. - Estación de compresión de Zamora",5009137,"ENAGAS TRANSPORTE, S.A.U",4210,Details
EU499575,10-36,2019-03-22 01:33:12.511,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Päästökauppa:FI277,5010333,Mäntän Energia Oy,6436,Details
EU499546,10-36,2019-03-22 01:33:12.44,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Laitostili Kelankaari:FI505,5010561,Vatajankoski Oy,3,Details
EU499263,10-36,2019-03-22 01:33:12.323,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,Vidriería Rovira S.L.- Sevilla,5008915,"Vidriería Rovira, SL",26455,Details
EU499290,10-36,2019-03-22 01:33:12.321,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Alúmina Española, S.A.-Planta de San Ciprián",5018256,"Alúmina Española, S.A.",634870,Details
EU499309,10-36,2019-03-22 01:33:12.161,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Karjalahti:FI179,5010962,Kemin Energia ja Vesi Oy,9496,Details
EU499564,10-36,2019-03-22 01:33:12.151,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Saint-Gobain Pam España, S.A.",5018285,"Saint-Gobain Pam España, S.A.",34426,Details
EU499252,10-36,2019-03-22 01:33:12.127,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Atria Yhtymä Oyj:FI11,5010794,Nevel Oy,5018,Details
EU499321,10-36,2019-03-22 01:33:12.106,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Cerámica Torregrosa, S.L.",5009021,"Cerámica Torregrosa, S.L.",8500,Details
EU499420,10-36,2019-03-22 01:33:12.047,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,"LK153, Seinäjoki:FI67",5010850,Adven Oy,10944,Details
EU499588,10-36,2019-03-22 01:33:11.876,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,CO2 kauppa:FI493,5010549,Varissuon Lämpö Oy,2774,Details
EU499545,10-36,2019-03-22 01:33:11.778,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Votorantim Cementos España, S.A. Fábrica de Toral de los Vados",5009587,"Votorantim Cementos España, S.A.",540867,Details
EU499333,10-36,2019-03-22 01:33:11.68,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Ruokotie:FI247,5011030,Lahti Energia Oy,173,Details
EU499294,10-36,2019-03-22 01:33:11.674,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Borealis Polymers Oy:n tuotantolaitokset,5010728,Borealis Polymers Oy,528721,Details
EU499339,10-36,2019-03-22 01:33:11.631,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Hämeenlinna: Keinusaaren lämpökeskus:FI514,5010570,Loimua Oy,7,Details
