Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU485603,10-36,2019-02-21 01:41:05.621,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,GEOVOL Unterföhring GmbH,5024239,GEOVOL Unterföhring GmbH,194,Details
EU485615,10-36,2019-02-21 01:41:05.618,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,MEGAL Gernsheim,5015793,MEGAL GmbH & Co.KG,6180,Details
EU485610,10-36,2019-02-21 01:41:05.609,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,Anilin-Anlage Böhlen,5018286,Dow Olefinverbund GmbH,24985,Details
EU485606,10-36,2019-02-21 01:41:05.606,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Austria,100,Ziegelwerk Lizzi Erlach,5004147,Ziegelwerk Lizzi GmbH,711,Details
EU485618,10-36,2019-02-21 01:41:05.604,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,884 - Anlagenkonto,5016053,Stadtwerke Frankfurt (Oder) GmbH,780,Details
EU485607,10-36,2019-02-21 01:41:05.601,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,1461 - Anlagenkonto,5014832,Mindener Wärme GmbH,10936,Details
EU485600,10-36,2019-02-21 01:41:05.598,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Austria,100,"LENZING AG, Standort Lenzing, OÖ",5004186,Lenzing AG,331138,Details
EU485744,10-36,2019-02-21 01:40:56.121,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Austria,100,Comelli Ziegel Kirchbach Maxendorf,5004221,Comelli-Ziegel Gesellschaft m.b.H.,5802,Details
EU485734,10-36,2019-02-21 01:40:55.801,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,Heizkraftwerk Homburg,5014516,STEAG New Energies GmbH,7559,Details
EU485590,10-36,2019-02-21 01:40:55.738,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Austria,100,Frantschach St. Gertraud,5004220,Mondi Frantschach GmbH,112368,Details
EU485592,10-36,2019-02-21 01:40:55.607,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,658 - Anlagenkonto,5014103,N-ERGIE Kraftwerke Gesellschaft mit beschränkter Haftung,1581,Details
EU485594,10-36,2019-02-21 01:40:55.379,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Austria,100,Gmundner Zement Gmunden,5004051,Zementwerk Hatschek GmbH,317358,Details
EU485596,10-36,2019-02-21 01:40:55.359,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,1747 - Frankfurter Str.,5015244,ENTEGA AG,44,Details
EU485595,10-36,2019-02-21 01:40:54.957,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,1042 - Anlagenkonto,5014233,Karlsruher Institut für Technologie (KIT),5791,Details
EU485746,10-36,2019-02-21 01:40:54.736,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,Erdgasverdichterstation Achim - Gasturbinenanlage (1866),5015428,Gasunie Deutschland Transport Services GmbH,2745,Details
EU485593,10-36,2019-02-21 01:40:54.687,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,1164 - Anlagenkonto,5014419,Universitätsklinikum Freiburg,20640,Details
EU485776,10-36,2019-02-21 01:40:54.651,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,518 - Anlagenkonto,5015332,Papierfabrik Palm GmbH & Co.KG,152173,Details
EU485591,10-36,2019-02-21 01:40:54.319,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,1152 - Anlagenkonto,5014402,Energieversorgungscenter Dresden-Wilschdorf GmbH & Co. KG,7681,Details
EU485735,10-36,2019-02-21 01:40:53.828,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Portugal,100,"76-GALLOVIDRO, S.A.",5004018,"GALLOVIDRO, S.A.",48679,Details
EU485740,10-36,2019-02-21 01:40:53.535,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,Westag AG,5020172,Westag AG,5046,Details
