Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU482357,10-0,2019-02-01 12:41:46.973,Completed,United Kingdom,100,CFP Energy Limited,5017513,CFP Energy Limited,Greece,100,MOTOKOR,5016949,ΜΟΤΟΡ ΟΙΛ - Δ. ΚΟΡΙΝΘΟΥ,5000,Details
EU482371,10-0,2019-02-01 12:41:46.226,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,Germany,100,Deutsche Lufthansa AG,5000022,Deutsche Lufthansa Aktiengesellschaft,10000,Details
EU482322,10-0,2019-02-01 12:41:17.963,Completed,Spain,100,EG TRADING ACCOUNT,5016853,"Endesa Generación, S.A.",Spain,100,"Unión Eléctrica de Canarias Generación, S.A.U.",5008834,"Unión Eléctrica de Canarias Generación, S.A.U.",293000,Details
EU481479,10-2,2019-02-01 12:41:13.44,Completed,United Kingdom,100,Seal Sands,5008452,CONOCOPHILLIPS (U.K.) TEESSIDE OPERATOR LIMITED,European Commission,100,EU Allowance deletion,5016380,European Commission,313742,Details
EU482358,10-0,2019-02-01 12:40:35.806,Completed,United Kingdom,100,CFP Energy Limited,5017513,CFP Energy Limited,Portugal,100,"Transportes Aéreos Portugueses, S.A.",5000522,"Transportes Aéreos Portugueses, S.A.",80000,Details
EU482323,10-0,2019-02-01 12:40:19.529,Completed,Spain,100,EG TRADING ACCOUNT,5016853,"Endesa Generación, S.A.",Spain,100,GAS Y ELECTRICIDAD GENERACION SAU,5008835,GAS Y ELECTRICIDAD GENERACION SAU,248000,Details
EU482374,10-0,2019-02-01 12:39:21.018,Completed,Italy,100,Aitherco2 SpA,5016984,AitherCO2 SIM SpA,United Kingdom,100,VipJet Limited,5017722,VipJet Limited,253,Details
EU482375,10-0,2019-02-01 12:38:36.99,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,United Kingdom,100,Belektron TRD,5016818,Belektron d.o.o.,100000,Details
EU482376,10-0,2019-02-01 12:37:58.062,Completed,Italy,100,Aitherco2 SpA,5016984,AitherCO2 SIM SpA,Italy,100,Operator Account,5013471,Raffineria di Milazzo S.C.p.A.,60000,Details
EU482370,10-0,2019-02-01 12:36:44.002,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,Germany,100,Deutsche Lufthansa AG,5000022,Deutsche Lufthansa Aktiengesellschaft,106000,Details
EU482377,10-0,2019-02-01 12:36:24.302,Completed,Italy,100,Aitherco2 SpA,5016984,AitherCO2 SIM SpA,Italy,100,Ex TERMICA MILAZZO,5012555,Raffineria di Milazzo S.C.p.A.,30000,Details
EU482367,10-0,2019-02-01 12:35:16.784,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Poland,100,"INSTALACJA ENERGETYCZNEGO SPALANIA PALIW O MOCY 176,26 MW",5002865,SW-SOLAR CZARNA WODA SP. Z O.O.,3000,Details
EU482181,10-0,2019-02-01 12:34:07.485,Completed,Estonia,100,Väo reservkatlamaja CHP,5026102,OÜ Utilitas Tallinna Elektrijaam,Estonia,100,Digismart:EE74,5016364,OÜ Utilitas Tallinna Elektrijaam,5000,Details
EU482348,10-0,2019-02-01 12:32:54.964,Completed,United Kingdom,100,Gazprom Marketing & Trading (TRADING ACCOUNT),5017318,Gazprom Marketing & Trading Limited,United Kingdom,100,Gazprom Marketing & Trading Retail (Trading Account),5017319,Gazprom Marketing & Trading Retail Ltd,9800,Details
EU482372,10-0,2019-02-01 12:32:54.227,Completed,France,100,SOCIETE GENERALE,5017623,SOCIETE GENERALE,Ireland,100,CRH Finance Limited Trading Account,5012056,CRH Finance Designated Activity Company,260000,Details
EU482360,10-0,2019-02-01 12:32:35.573,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,50000,Details
EU482362,10-0,2019-02-01 12:30:36.131,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,United Kingdom,100,Mitsui Bussan Commodities Ltd,5017395,Mitsui Bussan Commodities Ltd,126000,Details
EU482363,10-0,2019-02-01 12:27:57.312,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,Germany,100,Commerzbank AG - Trading Account,5016810,COMMERZBANK Aktiengesellschaft,300000,Details
EU482365,10-0,2019-02-01 12:26:00.148,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,United Kingdom,100,CFP Energy Limited,5017513,CFP Energy Limited,100000,Details
EU482368,10-0,2019-02-01 12:23:32.014,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,Italy,100,CONTO SCAMBIO IEN,5024606,Iren Energia S.p.A.,9000,Details
