Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU499312,10-36,2019-03-22 01:33:14.628,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,TKS/RHL/CO2:FI446,5010502,Tampereen Sähkölaitos Oy,1094,Details
EU499316,10-36,2019-03-22 01:33:14.593,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,PPV_2_CO2:FI765,5010738,Porin Prosessivoima Oy,32624,Details
EU499583,10-36,2019-03-22 01:33:14.524,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Compañía Energética Para el Tablero, S.A. - Instalación de Soria",5009592,"COMPAÑÍA ENERGÉTICA PARA EL TABLERO, S.A",4639,Details
EU499323,10-36,2019-03-22 01:33:14.448,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,UPM Wisaforest:FI461,5010517,UPM-Kymmene Oyj,190119,Details
EU499329,10-36,2019-03-22 01:33:14.362,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Voimalaitos Voima,5010984,Kokkolan Energia Oy,25865,Details
EU499558,10-36,2019-03-22 01:33:14.223,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Boliden Kokkola Oy,5022856,Boliden Kokkola Oy,53401,Details
EU499544,10-36,2019-03-22 01:33:14.1,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Säynätsalo:FI97,5010880,Adven Oy,6385,Details
EU499328,10-36,2019-03-22 01:33:14.066,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,"Yara Siilinjärvi, rikinpolttolaitos",5022584,Yara Suomi Oy,7561,Details
EU499314,10-36,2019-03-22 01:33:13.991,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"BP ENERGÍA ESPAÑA, S.A.",5009043,"BP ENERGÍA ESPAÑA, S.A.",779760,Details
EU499324,10-36,2019-03-22 01:33:13.888,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Pladur Gypsum, S.A.U.",5009834,"Pladur Gypsum, S.A.U.",51978,Details
EU499303,10-36,2019-03-22 01:33:13.742,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Plastiverd, Pet Reciclado, S.A.",5009910,"Plastiverd, Pet Reciclado, S.A.",28341,Details
EU499547,10-36,2019-03-22 01:33:13.702,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Mertaniemi:FI258,5011041,Lappeenrannan Lämpövoima Oy,3746,Details
EU499260,10-36,2019-03-22 01:33:13.65,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Ristiina:FI154,5010937,Järvi-Suomen Voima Oy,24753,Details
EU499334,10-36,2019-03-22 01:33:13.63,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Acerinox Europa, S.A.U.",5009176,Acerinox Europa S.A.U,222272,Details
EU499335,10-36,2019-03-22 01:33:13.62,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Kosilan lämpökeskus,5010982,Kokkolan Energia Oy,187,Details
EU499342,10-36,2019-03-22 01:33:13.617,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,Industrias Lácteas de Granada S.L - Fabrica de Granada,5009641,"Industrias Lácteas de Granada, S.L.",7102,Details
EU499310,10-36,2019-03-22 01:33:13.551,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Heinola: Sammalpuiston lämpökeskus:FI521,5010577,Loimua Oy,24,Details
EU499337,10-36,2019-03-22 01:33:13.496,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Befesa Zinc Aser, S.A.U.",5018246,"Befesa Zinc Aser, S.A.U.",69039,Details
EU499576,10-36,2019-03-22 01:33:13.495,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,Atomcer S.A.,5009022,"ATOMCER, S.A.",18521,Details
EU499582,10-36,2019-03-22 01:33:13.41,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,SAMCA Onda - S.A. Minera Catalano Aragonesa,5009253,S.A. MINERA CATALANO ARAGONESA,37000,Details
