Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU513336,10-2,2019-04-16 08:17:14.12,Completed,Italy,100,Raffmetal,5018190,Raffmetal SpA,European Commission,100,EU Allowance deletion,5016380,European Commission,47412,Details
EU513922,10-2,2019-04-16 08:16:27.378,Completed,Italy,100,Operator Account,5012638,MOSAICO SpA,European Commission,100,EU Allowance deletion,5016380,European Commission,136960,Details
EU513683,10-2,2019-04-16 08:15:43.262,Completed,Germany,100,1472 - Anlagenkonto,5014846,Lausitz Energie Kraftwerke AG,European Commission,100,EU Allowance deletion,5016380,European Commission,10209765,Details
EU513406,10-2,2019-04-16 08:14:56.57,Completed,Netherlands,100,ExxonMobil Chemical Holland B.V. (RPP),5021118,ExxonMobil Chemical Holland B.V.,European Commission,100,EU Allowance deletion,5016380,European Commission,44287,Details
EU513933,10-72,2019-04-16 08:12:59.443,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Germany,100,1478 - Anlagenkonto,5014856,Lausitz Energie Kraftwerke AG,3200000,Details
EU513930,10-71,2019-04-16 08:12:07.671,Completed,Germany,100,1478 - Anlagenkonto,5014856,Lausitz Energie Kraftwerke AG,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,3200000,Details
EU513686,10-2,2019-04-16 08:10:18.298,Completed,Germany,100,1474 - Anlagenkonto,5014850,Lausitz Energie Kraftwerke AG,European Commission,100,EU Allowance deletion,5016380,European Commission,22807073,Details
EU513449,10-2,2019-04-16 08:09:52.263,Completed,Czech Republic,100,"Teplárna Strakonice, a.s.",5006854,"Teplárna Strakonice, a.s.",European Commission,100,EU Allowance deletion,5016380,European Commission,131369,Details
EU501204,10-2,2019-04-16 08:06:45.147,Completed,Germany,100,Adolf Würth GmbH Co KG,5000439,Adolf Würth GmbH & Co KG,European Commission,100,EU Allowance deletion,5016380,European Commission,3808,Details
EU513918,10-2,2019-04-16 08:05:18.338,Completed,Italy,100,MOSAICO S.p.a.,5012677,MOSAICO SpA,European Commission,100,EU Allowance deletion,5016380,European Commission,26396,Details
EU513924,10-2,2019-04-16 08:04:49.497,Completed,Poland,100,Kotłownia rejonowa KR-1,5003880,Przedsiębiorstwo Energetyki Cieplnej EMPEC Sp. z o.o.,European Commission,100,EU Allowance deletion,5016380,European Commission,21069,Details
EU513914,4-0,2019-04-16 08:04:25.871,Completed,Germany,100,Fokus Zukunft GmbH & Co.KG,5025499,Fokus Zukunft GmbH & Co. KG,European Commission,230,EU Cancellation Account Period 2,5022673,EUROPEAN UNION,1440,Details
EU513689,10-2,2019-04-16 08:03:19.822,Completed,Germany,100,1477 - Anlagenkonto,5014854,Lausitz Energie Kraftwerke AG,European Commission,100,EU Allowance deletion,5016380,European Commission,12374048,Details
EU513337,10-2,2019-04-16 07:55:45.101,Completed,Poland,100,Elektrociepłownia Płońsk,5003110,Przedsiębiorstwo Energetyki Cieplnej w Płońsku Sp. z o.o.,European Commission,100,EU Allowance deletion,5016380,European Commission,6675,Details
EU503253,10-2,2019-04-16 07:55:28.39,Completed,Germany,100,1779 - Anlagenkonto,5015296,Bayerische Motoren Werke Aktiengesellschaft,European Commission,100,EU Allowance deletion,5016380,European Commission,49328,Details
EU503254,10-2,2019-04-16 07:54:19.002,Completed,Germany,100,1780 - Anlagenkonto,5015297,Bayerische Motoren Werke Aktiengesellschaft,European Commission,100,EU Allowance deletion,5016380,European Commission,36807,Details
EU503255,10-2,2019-04-16 07:53:18.708,Completed,Germany,100,1781 - Anlagenkonto,5015300,Bayerische Motoren Werke Aktiengesellschaft,European Commission,100,EU Allowance deletion,5016380,European Commission,7771,Details
EU512898,10-2,2019-04-16 07:52:32.957,Completed,Finland,100,Vilppulan voimalaitos,5010835,Metsä Fibre Oy,European Commission,100,EU Allowance deletion,5016380,European Commission,4427,Details
EU503257,10-2,2019-04-16 07:52:11.055,Completed,Germany,100,1783 - Anlagenkonto,5015303,Bayerische Motoren Werke Aktiengesellschaft,European Commission,100,EU Allowance deletion,5016380,European Commission,6332,Details
EU503260,10-2,2019-04-16 07:50:47.872,Completed,Germany,100,1784 - Anlagenkonto,5015304,Bayerische Motoren Werke Aktiengesellschaft,European Commission,100,EU Allowance deletion,5016380,European Commission,32120,Details
