Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU494688,10-72,2019-03-06 08:34:19.531,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Germany,100,FHW Dortmund-Scharnhorst,5014287,Fernwärmeversorgung Niederrhein GmbH,1127,Details
EU494681,10-71,2019-03-06 08:33:30.522,Completed,Germany,100,FHW Dortmund-Scharnhorst,5014287,Fernwärmeversorgung Niederrhein GmbH,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,1127,Details
EU494686,10-72,2019-03-06 08:32:20.979,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Germany,100,FHW Dortmund-Bodelschwingh,5024009,Fernwärmeversorgung Niederrhein GmbH,1677,Details
EU494682,10-71,2019-03-06 08:31:28.311,Completed,Germany,100,FHW Dortmund-Bodelschwingh,5024009,Fernwärmeversorgung Niederrhein GmbH,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,1677,Details
EU494607,10-2,2019-03-06 08:19:48.918,Completed,Italy,100,Operator Account,5013664,Ferrania Chemicals srl,European Commission,100,EU Allowance deletion,5016380,European Commission,760,Details
EU494273,10-2,2019-03-06 08:04:16.54,Completed,Czech Republic,100,Lenzing Biocel Paskov a.s.,5006745,Lenzing Biocel Paskov a.s.,European Commission,100,EU Allowance deletion,5016380,European Commission,6378,Details
EU494398,10-2,2019-03-06 07:46:17.364,Completed,Germany,100,813 - Anlagenkonto,5015549,Wacker Chemie AG,European Commission,100,EU Allowance deletion,5016380,European Commission,664276,Details
EU494399,10-2,2019-03-06 07:44:27.328,Completed,Germany,100,Vinna-Anlage,5018859,Wacker Chemie AG,European Commission,100,EU Allowance deletion,5016380,European Commission,18637,Details
EU494677,10-72,2019-03-06 07:43:59.38,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Germany,100,Vinna-Anlage,5018859,Wacker Chemie AG,839,Details
EU494402,10-71,2019-03-06 07:42:55.043,Completed,Germany,100,Vinna-Anlage,5018859,Wacker Chemie AG,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,839,Details
EU493192,10-2,2019-03-06 06:35:47.202,Completed,United Kingdom,100,,5001062,,European Commission,100,EU Allowance deletion,5016380,European Commission,1849,Details
EU494665,10-36,2019-03-06 01:30:18.856,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,Anlagenkonto Omni-Pac GmbH,5027228,Omni-Pac GmbH Verpackungsmittel,18411,Details
EU494664,10-36,2019-03-06 01:30:18.791,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,"BHKW Jäckering Mühlenwerke, Hamm",5013768,Jäckering Mühlen- und Nährmittelwerke GmbH,16355,Details
EU494654,10-36,2019-03-06 01:30:18.768,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Sweden,100,Lastaren,5001998,Värmevärden AB,1257,Details
EU494667,10-36,2019-03-06 01:30:18.719,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,CONTO DEPOSITO PICA,5022084,TERREAL ITALIA S.r.l.,19088,Details
EU494653,10-36,2019-03-06 01:30:18.651,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,Novelis Recycling,5024050,Novelis Sheet Ingot GmbH,90159,Details
EU494666,10-36,2019-03-06 01:30:18.646,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5013645,ESSITY ITALY S.P.A.,11292,Details
EU494656,10-36,2019-03-06 01:30:18.58,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,Bernhard Link GmbH & Co. KG,5017930,Bernhard Link GmbH & Co. KG,4343,Details
EU494661,10-36,2019-03-06 01:30:18.575,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,Dampfbesicherung Dormagen B735,5026860,Currenta GmbH & Co. OHG,23975,Details
EU494643,10-36,2019-03-06 01:30:18.514,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,Heizzentrale Bochum Anlagenkonto 1387,5014733,ThyssenKrupp Steel Europe AG,2708,Details
