Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU499157,10-36,2019-03-22 01:32:40.034,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Päästökauppa/Punkavoima Oy:FI354,5010410,Metsäliitto Osuuskunta,9582,Details
EU499156,10-36,2019-03-22 01:32:40.024,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Natucer, S.L.",5022101,"Natucer, S.L.",4205,Details
EU499594,10-36,2019-03-22 01:32:22.573,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,PKT SEPP-Anjala:FI415,5010471,Stora Enso Publication Papers Oy Ltd,164210,Details
EU499598,10-36,2019-03-22 01:32:22.47,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Patolan lämpökeskus:FI112,5010895,Helen Oy,4558,Details
EU499597,10-36,2019-03-22 01:32:22.379,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Cerámica Saloni, S.A.",5009120,"Cerámica Saloni, S.A.",37591,Details
EU499596,10-36,2019-03-22 01:32:22.29,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Jepuan voimalaitos Lk316,5022525,Adven Oy,9207,Details
EU499595,10-36,2019-03-22 01:32:22.219,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,TKS/RTN/CO2:FI592,5010632,Tampereen Sähkölaitos Oy,4008,Details
EU499613,10-36,2019-03-22 01:32:22.139,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Azulejo Español, S.L.",5020075,"Azulejo Español, S.L.",9068,Details
EU499602,10-36,2019-03-22 01:32:22.048,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Marazzi Iberia, S.L.U..-Centro Peñarroya",5020209,"Marazzi Iberia, SLU",12318,Details
EU499612,10-36,2019-03-22 01:32:21.976,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Grespania, S.A.",5008871,"Grespania, S.A.",23283,Details
EU499601,10-36,2019-03-22 01:32:21.923,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,SVA5:FI327,5010383,Oy Turku Energia Åbo Energi Ab,8,Details
EU499611,10-36,2019-03-22 01:32:21.858,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Tolsa, S.A.",5009466,"TOLSA, S.A.",9389,Details
EU499610,10-36,2019-03-22 01:32:21.795,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Päästöt-Suomenoja:FI27,5010810,Fortum Power and Heat Oy,171616,Details
EU499600,10-36,2019-03-22 01:32:21.793,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,Cogeneradora Burgalesa,5008959,"COGENERADORA BURGALESA, S.L.",3170,Details
EU499606,10-36,2019-03-22 01:32:21.743,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,"Tierra Atomizada, S.A. - Factoría 1",5009155,"Tierra Atomizada, S.A",81724,Details
EU499599,10-36,2019-03-22 01:32:21.743,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Spain,100,Planta de Cogeneración de DDR,5009057,"Depuración, Destilación, Reciclaje, S.L.",1331,Details
EU499604,10-36,2019-03-22 01:32:21.716,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,TERVAPAASTO:FI450,5010506,Tervakoski Oy,62679,Details
EU499614,10-36,2019-03-22 01:32:21.712,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,ER-Saha Oy:n lämpökeskus:FI731,5010727,ER-Saha Oy,2914,Details
EU499615,10-36,2019-03-22 01:32:21.709,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,Vilppulan voimalaitos,5010835,Metsä Fibre Oy,11596,Details
EU499607,10-36,2019-03-22 01:32:21.707,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Finland,100,PKT Varkauden tehtaat:FI412,5010468,Stora Enso Oyj,73204,Details
