Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU508746,10-2,2019-04-10 14:37:40.334,Completed,Poland,100,Isoroc Polska,5002576,ISOROC POLSKA,European Commission,100,EU Allowance deletion,5016380,European Commission,28007,Details
EU510588,10-2,2019-04-10 14:37:33.638,Completed,Germany,100,1039 - Anlagenkonto,5014230,Herbstreith & Fox GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,19661,Details
EU509191,10-0,2019-04-10 14:37:31.485,Completed,Portugal,100,"201-CMP - Cimentos Maceira e Pataias, S.A",5002871,"SECIL - Companhia Geral de Cal e Cimento, S.A",Malta,100,CFP Trading Limited,5027818,CFP Trading Limited,18500,Details
EU510464,10-2,2019-04-10 14:37:10.093,Completed,Germany,100,HW Barmbek,5015701,Hamburger Energiewerke GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,175,Details
EU510545,10-2,2019-04-10 14:37:01.533,Completed,Denmark,100,KVR,5006330,Verdo Produktion A/S,European Commission,100,EU Allowance deletion,5016380,European Commission,1764,Details
EU510120,10-2,2019-04-10 14:37:01.533,Completed,Germany,100,BHKW/HW Hegholt,5014995,HanseWerk Natur GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,1398,Details
EU510126,10-2,2019-04-10 14:35:10.96,Completed,Germany,100,BHKW/HW Hohenhorst,5015012,HanseWerk Natur GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,3310,Details
EU510128,10-2,2019-04-10 14:33:43.904,Completed,Germany,100,BHKW Stapelfeld,5015013,HanseWerk Natur GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,14816,Details
EU510596,10-0,2019-04-10 14:33:26.995,Completed,United Kingdom,100,UK Trading Account,5017443,Drax Power Limited,Netherlands,100,Drax Netherlands B.V.,5027988,Drax Netherlands B.V.,30431,Details
EU510471,10-2,2019-04-10 14:32:30.905,Completed,Germany,100,HW Eppendorf,5015797,Hamburger Energiewerke GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,718,Details
EU510133,10-2,2019-04-10 14:32:11.925,Completed,Germany,100,Schnackenburgallee  GV4,5015018,HanseWerk Natur GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,9667,Details
EU510556,10-2,2019-04-10 14:30:47.437,Completed,Denmark,100,Dronningborg,5006331,Verdo Produktion A/S,European Commission,100,EU Allowance deletion,5016380,European Commission,42,Details
EU510136,10-2,2019-04-10 14:30:43.66,Completed,Germany,100,BHKW/HW Tilsit,5015121,HanseWerk Natur GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,4343,Details
EU510578,10-2,2019-04-10 14:29:44.161,Completed,Germany,100,1077 - Anlagenkonto,5014302,SWK Stadtwerke Kaiserslautern Versorgungs-AG,European Commission,100,EU Allowance deletion,5016380,European Commission,593,Details
EU510139,10-2,2019-04-10 14:29:04.857,Completed,Germany,100,BHKW Wahlstedt,5015920,HanseWerk Natur GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,5181,Details
EU510480,10-2,2019-04-10 14:28:18.15,Completed,Germany,100,HW Haferweg,5025940,Hamburger Energiewerke GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,1394,Details
EU510589,10-2,2019-04-10 14:27:38.871,Completed,Germany,100,Heizwerk West,5015948,SWK Stadtwerke Kaiserslautern Versorgungs-AG,European Commission,100,EU Allowance deletion,5016380,European Commission,2778,Details
EU510576,10-2,2019-04-10 14:27:13.346,Completed,Germany,100,Prüfstand 5,5021640,MTU Maintenance Berlin-Brandenburg GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,1174,Details
EU510587,10-2,2019-04-10 14:26:41.722,Completed,France,100,KNAUF CEILING SOLUTIONS SAS,5022991,KNAUF CEILING SOLUTIONS SAS,European Commission,100,EU Allowance deletion,5016380,European Commission,31872,Details
EU510579,10-2,2019-04-10 14:26:11.684,Completed,Germany,100,Prüfstand 4,5021641,MTU Maintenance Berlin-Brandenburg GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,2157,Details
