Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU520556,10-0,2019-04-30 11:23:00.816,Completed,France,100,SOLVAY ENERGY SERVICES,5017277,SOLVAY ENERGY SERVICES,France,100,CARGILL HAUBOURDIN,5005303,CARGILL HAUBOURDIN SAS,8392,Details
EU520560,10-72,2019-04-30 11:21:35.296,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Bulgaria,100,Keros Bulgaria EAD,5019141,Keros Bulgaria EAD,4510,Details
EU520555,10-71,2019-04-30 11:20:36.769,Completed,Bulgaria,100,Keros Bulgaria EAD,5019141,Keros Bulgaria EAD,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,4510,Details
EU520408,10-0,2019-04-30 11:18:46.374,Completed,Netherlands,100,BNP Paribas London Branch,5027681,BNP Paribas London Branch,Ireland,100,Ryanair DAC,5001120,Ryanair Designated Activity Company,250000,Details
EU520415,10-0,2019-04-30 11:16:06.495,Completed,Netherlands,100,BNP Paribas London Branch,5027681,BNP Paribas London Branch,Ireland,100,Operator Account,5011941,Edenderry Power Limited,25000,Details
EU520553,10-0,2019-04-30 11:15:29.362,Completed,Netherlands,100,FUTURES CLIENT TRADING ACCOUNT,5027936,Macquarie Bank Limited,Netherlands,100,ICE Clear Europe Limited,5026873,ICE Clear Europe Limited,20000,Details
EU520528,10-2,2019-04-30 11:12:31.899,Completed,Czech Republic,100,Papírna Aloisov,5007073,Papírna Aloisov a.s.,European Commission,100,EU Allowance deletion,5016380,European Commission,4005,Details
EU520552,10-0,2019-04-30 11:11:58.631,Completed,Netherlands,100,FUTURES CLIENT TRADING ACCOUNT,5027936,Macquarie Bank Limited,Netherlands,100,ICE Clear Europe Limited,5026873,ICE Clear Europe Limited,60000,Details
EU520550,10-72,2019-04-30 11:05:22.163,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Germany,100,Feldmuehle GmbH Anlage PM,5015402,Feldmuehle GmbH,5672,Details
EU520534,10-0,2019-04-30 11:04:50.134,Completed,Netherlands,100,FUTURES CLIENT TRADING ACCOUNT,5027936,Macquarie Bank Limited,Netherlands,100,ICE Clear Europe Limited,5026873,ICE Clear Europe Limited,297000,Details
EU520541,10-71,2019-04-30 11:04:03.891,Completed,Germany,100,Feldmuehle GmbH Anlage PM,5015402,Feldmuehle GmbH,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,5672,Details
EU520543,10-2,2019-04-30 11:03:46.735,Completed,France,100,ELENGY - Terminal Méthanier de Montoir,5005817,ELENGY,European Commission,100,EU Allowance deletion,5016380,European Commission,9919,Details
EU520468,10-0,2019-04-30 11:00:49.204,Completed,United Kingdom,100,Mitsui Bussan Commodities Ltd,5017395,Mitsui Bussan Commodities Ltd,Italy,100,Aitherco2 SpA,5016984,AitherCO2 SIM SpA,46000,Details
EU520540,10-0,2019-04-30 10:58:55.677,Completed,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,United Kingdom,100,Liberty Steel Newport Limited,5023062,Liberty Steel Newport Limited,15161,Details
EU520544,10-2,2019-04-30 10:58:52.197,Completed,Spain,100,"Dicepa Higiene, S.L.",5009243,"Dicepa Higiene, S.L.",European Commission,100,EU Allowance deletion,5016380,European Commission,5769,Details
EU520517,10-2,2019-04-30 10:54:08.167,Completed,United Kingdom,100,Liberty Steel Newport Limited,5023062,Liberty Steel Newport Limited,European Commission,100,EU Allowance deletion,5016380,European Commission,19312,Details
EU520546,10-0,2019-04-30 10:51:47.788,Completed,Germany,100,Goldman Sachs International,5027670,Goldman Sachs International,Ireland,100,Ryanair DAC,5001120,Ryanair Designated Activity Company,100000,Details
EU520542,10-2,2019-04-30 10:47:11.821,Completed,France,100,AIR CAIRO,5018800,AIR CAIRO,European Commission,100,EU Allowance deletion,5016380,European Commission,718,Details
EU520532,10-0,2019-04-30 10:45:25.399,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Hungary,100,ASL Airlines (Hungary) Kft.,5026293,ASL Airlines (Hungary) Kft.,1847,Details
CDM57782,3-0,2019-04-30 10:42:38.099,Completed,CDM,110,,1000,,Netherlands,121,Carbon Rooster,5027591,Carbon Rooster Advisory Services B.V.,568081,Details
