Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU479560,10-0,2018-12-28 10:01:32.078,Completed,Italy,100,ENEL TRADE ITALIA,5016899,Enel Global Trading S.p.A.,Italy,100,Operator Account,5013451,ENEL PRODUZIONE S.p.A.,28000,Details
EU479567,10-0,2018-12-28 10:01:14.724,Completed,Italy,100,ENEL TRADE ITALIA,5016899,Enel Global Trading S.p.A.,Spain,100,EG TRADING ACCOUNT,5016853,"Endesa Generación, S.A.",143000,Details
EU479564,10-0,2018-12-28 10:00:21.811,Completed,France,100,SOCIETE GENERALE,5017623,SOCIETE GENERALE,France,100,SOCIETE GENERALE Détention,5005432,SOCIETE GENERALE,520000,Details
EU479581,10-0,2018-12-28 10:00:16.896,Completed,Spain,100,"Repsol Trading, S.A.",5024180,"Repsol Trading, S.A",United Kingdom,100,Newedge UK Financial Ltd,5016868,Societe Generale International Limited,1928000,Details
EU479575,10-36,2018-12-28 01:30:23.03,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Hungary,100,Operator Account:HU100,5011931,Univer-Product ZRt.,587,Details
EU479579,10-36,2018-12-28 01:30:17.748,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Hungary,100,Operator Account:HU100,5011931,Univer-Product ZRt.,785,Details
EU479187,10-0,2018-12-27 17:09:22.392,Completed,Norway,100,Kinect Energy AS,5020081,Kinect Energy AS,United Kingdom,100,Swanwick,5007229,NATS (EnRoute) Public Limited Company,1218,Details
EU479573,10-72,2018-12-27 16:49:50.979,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,United Kingdom,100,Santon Asphalt,5021622,Tarmac Trading Limited,263,Details
EU479491,10-71,2018-12-27 16:49:00.923,Completed,United Kingdom,100,Santon Asphalt,5021622,Tarmac Trading Limited,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,263,Details
EU479176,10-0,2018-12-27 16:35:27.115,Completed,Germany,100,2088 - Stadtwerke Leipzig GmbH Personenkonto,5015675,Stadtwerke Leipzig GmbH,Germany,100,1462 - Anlagenkonto,5014833,Stadtwerke Leipzig GmbH,300000,Details
EU479173,10-0,2018-12-27 16:33:53.553,Completed,Germany,100,2088 - Stadtwerke Leipzig GmbH Personenkonto,5015675,Stadtwerke Leipzig GmbH,Germany,100,1806 - Anlagenkonto,5015340,Stadtwerke Leipzig GmbH,3000,Details
EU479172,10-0,2018-12-27 16:33:47.952,Completed,Germany,100,Stadtwerke Aachen AG,5013729,Stadtwerke Aachen Aktiengesellschaft,Germany,100,Anlagenkonto TKL GmbH & Co. KG,5013872,Trianel Kohlekraftwerk Lünen GmbH & Co. KG,244056,Details
EU479169,10-0,2018-12-27 16:19:28.574,Completed,Germany,100,532 - Anlagenkonto,5015469,Wepa Deutschland GmbH & Co. KG,Germany,100,Wepa Kraftwerk GmbH,5022037,Wepa Kraftwerk GmbH,29000,Details
EU479168,10-0,2018-12-27 16:11:12.274,Completed,Germany,100,531 - Anlagenkonto,5015466,Wepa Deutschland GmbH & Co. KG,Germany,100,588 - Anlagenkonto,5015928,Wepa Deutschland GmbH & Co. KG,1800,Details
EU479165,10-0,2018-12-27 16:07:03.584,Completed,Germany,100,531 - Anlagenkonto,5015466,Wepa Deutschland GmbH & Co. KG,Germany,100,Wepa Kraftwerk GmbH,5022037,Wepa Kraftwerk GmbH,21600,Details
EU479163,10-0,2018-12-27 16:03:04.248,Completed,Germany,100,531 - Anlagenkonto,5015466,Wepa Deutschland GmbH & Co. KG,Germany,100,533 - Anlagenkonto,5015478,Wepa Deutschland GmbH & Co. KG,5300,Details
EU479162,10-0,2018-12-27 15:57:42.172,Completed,Germany,100,531 - Anlagenkonto,5015466,Wepa Deutschland GmbH & Co. KG,Germany,100,636 - Anlagenkonto,5013987,Wepa Deutschland GmbH & Co. KG,7300,Details
NL31894,4-0,2018-12-27 15:55:39.675,Completed,Netherlands,121,ACT Carbon,778,ACT Financial Solutions B.V.,Netherlands,230,Annuleringsrekening CP2,5018612,Nederlandse Emissieautoriteit,50000,Details
EU479565,10-0,2018-12-27 15:55:16.841,Completed,Germany,100,Advantag Services GmbH,5022399,Advantag Services GmbH,Germany,100,Deutsche Asphalt AMA Westenfeld,5022781,Deutsche Asphalt GmbH,1105,Details
EU479322,10-0,2018-12-27 15:54:12.248,Completed,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,United Kingdom,100,Environmental Market Services Limited,5027412,Environmental Market Services limited,12798,Details
