Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU478462,10-0,2018-12-20 10:08:06.482,Completed,Germany,100,Handelskonto AOC,5017245,Vattenfall Energy Trading GmbH,Germany,100,Lausitz Energie Bergbau AG,5023467,Lausitz Energie Bergbau AG,4665381,Details
EU477960,10-0,2018-12-20 10:08:05.802,Completed,United Kingdom,100,ENI ETS UK 1,5016886,Eni Trading and Shipping SpA,Italy,100,Stabilimento di Porto Torres - Versalis,5013448,Versalis S.p.A.,40317,Details
EU478302,10-0,2018-12-20 10:07:58.546,Completed,France,100,SOLVAY ENERGY SERVICES,5017277,SOLVAY ENERGY SERVICES,France,100,CARGILL HAUBOURDIN,5005303,CARGILL HAUBOURDIN SAS,20963,Details
EU478445,10-0,2018-12-20 10:07:57.703,Completed,Germany,100,STEAG GmbH,5017212,STEAG GmbH,Poland,100,Ciepłownia Andaluzja II,5003646,Miejskie Przedsiębiorstwo Energetyki Cieplnej,13900,Details
EU478332,10-0,2018-12-20 10:07:48.044,Completed,United Kingdom,100,Redshaw Advisors,5023004,Louis Redshaw,United Kingdom,100,Bridgnorth Aluminium Limited,5021755,Bridgnorth Aluminium Limited,8500,Details
EU477887,10-0,2018-12-20 10:07:33.664,Completed,United Kingdom,100,ENI ETS UK 1,5016886,Eni Trading and Shipping SpA,United Kingdom,100,Operator Account,5008587,Eni UK Ltd.,2786,Details
EU478373,10-0,2018-12-20 10:07:23.269,Completed,United Kingdom,100,ENI ETS UK 1,5016886,Eni Trading and Shipping SpA,Italy,100,Stabilimento di Porto Marghera - Versalis,5013433,Versalis S.p.A.,206598,Details
EU477885,10-0,2018-12-20 10:06:49.619,Completed,United Kingdom,100,ENI ETS UK 1,5016886,Eni Trading and Shipping SpA,United Kingdom,100,Operator Account,5008590,Eni UK Ltd.,32016,Details
EU478458,10-0,2018-12-20 10:06:43.834,Completed,Germany,100,Handelskonto AOC,5017245,Vattenfall Energy Trading GmbH,Germany,100,Vattenfall Energy Trading GmbH,5017244,Vattenfall Energy Trading GmbH,4067360,Details
EU478370,10-0,2018-12-20 10:06:33.528,Completed,United Kingdom,100,ENI ETS UK 1,5016886,Eni Trading and Shipping SpA,Italy,100,Stabilimento di Brindisi - Versalis,5013437,Versalis S.p.A.,96417,Details
EU478475,10-0,2018-12-20 10:06:11.805,Completed,Germany,100,innogy SE,5017191,innogy SE,Germany,100,RWEST GmbH Trading Account,5016830,RWE Supply & Trading GmbH,89088,Details
EU477886,10-0,2018-12-20 10:06:00.952,Completed,United Kingdom,100,ENI ETS UK 1,5016886,Eni Trading and Shipping SpA,United Kingdom,100,Operator Account,5008586,Eni UK Ltd.,170925,Details
EU478372,10-0,2018-12-20 10:05:57.075,Completed,United Kingdom,100,ENI ETS UK 1,5016886,Eni Trading and Shipping SpA,Italy,100,Stabilimento di Priolo - Versalis,5013444,Versalis S.p.A.,218469,Details
EU478442,10-0,2018-12-20 10:05:57.043,Completed,Germany,100,STEAG GmbH,5017212,STEAG GmbH,Poland,100,KOTŁOWNIA REJONOWA NR 1,5003688,Energetyka Cieplna Sp.z o.o.,44600,Details
EU478141,10-0,2018-12-20 10:05:56.632,Completed,United Kingdom,100,ENI ETS UK 1,5016886,Eni Trading and Shipping SpA,Italy,100,Raffineria di Livorno - CTE,5013492,ENI S.P.A.,699625,Details
EU478438,10-0,2018-12-20 10:05:46.72,Completed,Germany,100,STEAG GmbH,5017212,STEAG GmbH,Germany,100,STEAG New Energies EU Personenkonto,5015473,STEAG New Energies GmbH,3000,Details
EU478360,10-0,2018-12-20 10:05:34.303,Completed,Austria,100,VERBUND Energy4Business GmbH,5023261,VERBUND Energy4Business GmbH,Germany,100,1815 - Anlagenkonto,5015355,Stadtwerke Tübingen GmbH,32000,Details
EU478435,10-0,2018-12-20 10:05:06.612,Completed,Germany,100,STEAG GmbH,5017212,STEAG GmbH,Germany,100,Heizwerk Essen-Rüttenscheid,5014632,STEAG Fernwärme GmbH,70000,Details
EU478296,10-0,2018-12-20 10:04:49.011,Completed,France,100,SOLVAY ENERGY SERVICES,5017277,SOLVAY ENERGY SERVICES,France,100,AXENS Usine de Salindres,5020823,AXENS,2000,Details
EU478311,10-0,2018-12-20 10:04:45.888,Completed,France,100,SOLVAY ENERGY SERVICES,5017277,SOLVAY ENERGY SERVICES,Germany,100,1068 - Anlagenkonto,5014286,Cerdia Produktions GmbH,20000,Details
