Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU505115,10-2,2019-04-03 16:03:26.318,Completed,Germany,100,479 - Anlagenkonto,5014859,Refratechnik Cement GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,12134,Details
EU503042,10-0,2019-04-03 16:02:26.335,Completed,Germany,100,HKW Reuter West,5014465,Vattenfall Wärme Berlin Aktiengesellschaft,Germany,100,HKW Wilmersdorf,5014470,Vattenfall Wärme Berlin Aktiengesellschaft,30744,Details
EU505164,10-2,2019-04-03 16:01:37.715,Completed,Italy,100,Torino Nord,5012723,Iren Energia S.p.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,852701,Details
EU505717,10-72,2019-04-03 16:01:35.235,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Italy,100,1698_S.Anna in Cona,5016779,SIRAM SPA,254,Details
EU503046,10-0,2019-04-03 16:00:51.894,Completed,Germany,100,HKW Reuter West,5014465,Vattenfall Wärme Berlin Aktiengesellschaft,Germany,100,HKW Mitte,5014486,Vattenfall Wärme Berlin Aktiengesellschaft,789698,Details
EU505554,10-71,2019-04-03 16:00:36.33,Completed,Italy,100,1698_S.Anna in Cona,5016779,SIRAM SPA,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,254,Details
EU505165,10-2,2019-04-03 16:00:12.635,Completed,Italy,100,Turbigo,5013336,Iren Energia S.p.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,480622,Details
EU505714,10-72,2019-04-03 15:59:20.033,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Italy,100,Istituto Giannina Gaslini,5012403,SIRAM SPA,317,Details
EU505699,10-2,2019-04-03 15:59:14.06,Completed,Belgium,100,122 Sofidel Benelux,5004521,Sofidel Benelux,European Commission,100,EU Allowance deletion,5016380,European Commission,31512,Details
EU503052,10-0,2019-04-03 15:59:00.629,Completed,Germany,100,HKW Reuter West,5014465,Vattenfall Wärme Berlin Aktiengesellschaft,Germany,100,HKW Lichterfelde,5015024,Vattenfall Wärme Berlin Aktiengesellschaft,144600,Details
EU505172,10-2,2019-04-03 15:58:27.469,Completed,Italy,100,Centrale di Rivoli,5013532,Iren Energia S.p.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,41515,Details
EU504963,10-2,2019-04-03 15:58:26.727,Completed,Greece,100,PROTERGIA S.A.,5002431,MYTILINEOS HOLDINGS S.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,606596,Details
EU505675,10-0,2019-04-03 15:58:25.406,Completed,United Kingdom,100,Newedge UK Financial Ltd,5016868,Societe Generale International Limited,Spain,100,"Repsol Trading, S.A.",5024180,"Repsol Trading, S.A",323000,Details
EU505573,10-71,2019-04-03 15:58:23.092,Completed,Italy,100,Istituto Giannina Gaslini,5012403,SIRAM SPA,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,317,Details
EU505589,10-2,2019-04-03 15:58:20.154,Completed,Poland,100,Ciepłownia Międzylesie,5003707,Veolia Energia Warszawa S.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,26406,Details
EU505689,10-2,2019-04-03 15:57:53.776,Completed,Italy,100,Calenia Energia,5012886,Calenia Energia SpA,European Commission,100,EU Allowance deletion,5016380,European Commission,805925,Details
EU503056,10-0,2019-04-03 15:57:30.741,Completed,Germany,100,HKW Reuter West,5014465,Vattenfall Wärme Berlin Aktiengesellschaft,Germany,100,BHKW Lange Enden,5015671,Vattenfall Wärme Berlin Aktiengesellschaft,20128,Details
EU505711,10-72,2019-04-03 15:57:27.569,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Portugal,100,"UMBELINO MONTEIRO, SA",5021741,"UMBELINO MONTEIRO, SA",1641,Details
EU505678,10-0,2019-04-03 15:57:04.54,Completed,United Kingdom,100,Newedge UK Financial Ltd,5016868,Societe Generale International Limited,Denmark,100,Neas Energy A/S,5020307,Centrica Energy Trading A/S,11000,Details
EU505177,10-2,2019-04-03 15:56:45.983,Completed,Italy,100,CT Grugliasco,5013536,Iren Energia S.p.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,7538,Details
