Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU486563,10-36,2019-02-21 01:43:06.915,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,1352 - Anlagenkonto,5014682,"Georg-August-Universität Göttingen, Stiftung Öffen",15909,Details
EU486791,10-36,2019-02-21 01:43:06.878,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,050 Sindelfingen HKW,5014525,Mercedes-Benz AG,132431,Details
EU486669,10-36,2019-02-21 01:43:06.782,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,Glykol-Fabrik,5018025,BASF SE,3606,Details
EU486644,10-36,2019-02-21 01:43:06.623,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,Berlin Energiezentrale,5015216,Bayer Aktiengesellschaft,37622,Details
EU486517,10-36,2019-02-21 01:43:06.507,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,1373 - Anlagenkonto,5014712,K+S Minerals and Agriculture GmbH,49204,Details
EU486798,10-36,2019-02-21 01:43:06.171,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,1515 - Anlagenkonto,5014909,InfraLeuna GmbH,92775,Details
EU486828,10-36,2019-02-21 01:43:06.151,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,1553 - Anlagenkonto,5014964,VW KRAFTWERK Gesellschaft mit beschränkter Haftung,83229,Details
EU486793,10-36,2019-02-21 01:43:06.14,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,279 - Anlagenkonto,5015291,Ritzenhoff AG,6329,Details
EU486501,10-36,2019-02-21 01:43:05.88,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,1864 - Anlagenkonto,5015425,Neptune Energy Deutschland GmbH,527,Details
EU486652,10-36,2019-02-21 01:43:05.795,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Austria,100,KELAG Wärme Prolactal Hartberg,5004109,Kelag Energie & Wärme GmbH,734,Details
EU486667,10-36,2019-02-21 01:43:05.742,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,1204 - Anlagenkonto,5014475,CP Kelco Germany GmbH,17456,Details
EU486512,10-36,2019-02-21 01:43:05.7,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,Kandelium Barium Strontium GmbH & Co.KG,5018708,Kandelium Barium Strontium GmbH & Co. KG,116786,Details
EU486795,10-36,2019-02-21 01:43:05.004,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Austria,100,Ziegelwerk Pichler Neuhofen,5004180,Ziegelwerk Pichler Wels Gesellschaft m.b.H.,1428,Details
EU486676,10-36,2019-02-21 01:43:04.928,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,629 - Anlagenkonto,5013959,Papierfabrik Adolf Jass GmbH & Co. KG,116792,Details
EU486674,10-36,2019-02-21 01:43:04.916,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,571 - Anlagenkonto,5015787,Gebr. Grünewald GmbH & Co. KG,12826,Details
EU486659,10-36,2019-02-21 01:43:04.857,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,Anlandestation Greifswald,5013861,OPAL Gastransport GmbH & Co. KG,16854,Details
EU486639,10-36,2019-02-21 01:43:04.82,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,Glyoxal-Fabrik,5017957,BASF SE,7567,Details
EU486514,10-36,2019-02-21 01:43:04.791,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,996 - Anlagenkonto,5014142,ROMONTA GmbH,78106,Details
EU486663,10-36,2019-02-21 01:43:04.709,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,1066 - Anlagenkonto,5014283,PRINOVIS GmbH & Co. KG,18294,Details
EU486789,10-36,2019-02-21 01:43:04.706,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Germany,100,938 - Anlagenkonto,5014025,Universitätsklinikum Würzburg,9126,Details
