Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU493910,10-36,2019-03-05 01:34:50.788,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Villotta,5012735,O-I Italy S.p.A.,38533,Details
EU493904,10-36,2019-03-05 01:34:50.762,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Conto Impianto Conselve,5013192,Distillerie Bonollo Umberto S.p.A.,9661,Details
EU493914,10-36,2019-03-05 01:34:50.738,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5012814,ACCIAIERIE DI CALVISANO SPA,24741,Details
EU493735,10-36,2019-03-05 01:34:50.612,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5012609,INDUSTRIA CALCE CASERTANA SRL,81394,Details
EU493902,10-36,2019-03-05 01:34:50.478,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5013539,Sadam S.p.A.,50806,Details
EU493965,10-36,2019-03-05 01:34:50.249,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5013168,Dalmine SpA,224172,Details
EU493990,10-36,2019-03-05 01:34:50.197,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5012839,ITALFOND SPA,15391,Details
EU493950,10-36,2019-03-05 01:34:50.186,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,CONTO QUOTE CO2 SPINETTA MARENGO,5018743,SOLVAY SPECIALTY POLYMERS ITALY SPA,41421,Details
EU493991,10-36,2019-03-05 01:34:50.134,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Acciaierie di Verona S.p.A. - Stabilimento di Verona,5013505,ACCIAIERIE DI VERONA S.p.A.,87321,Details
EU493942,10-36,2019-03-05 01:34:50.055,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5013631,Fenice spa,35803,Details
EU493901,10-36,2019-03-05 01:34:49.978,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5012524,Stogit S.p.A.,5726,Details
EU493933,10-36,2019-03-05 01:34:49.899,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5012570,TINTORIA CRESPI GIOVANNI & C.  S.R.L.,5620,Details
EU493899,10-36,2019-03-05 01:34:49.799,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Bormioli Rocco Spa - Stab. Fidenza,5012770,Bormioli Rocco Spa,46589,Details
EU493900,10-36,2019-03-05 01:34:49.785,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5012981,La Doria S.p.A.,2190,Details
EU493995,10-36,2019-03-05 01:34:49.584,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,CARTIERE CARRARA SpA - STABILIMENTO CALAMARI,5012442,Cartiere Carrara spa,9071,Details
EU493957,10-36,2019-03-05 01:34:49.574,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Loro Piana SpA,5026069,Loro Piana SpA,9034,Details
EU493966,10-36,2019-03-05 01:34:49.508,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5013581,FASSA SRL,77202,Details
EU493962,10-36,2019-03-05 01:34:49.421,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,1698_S.Anna in Cona,5016779,SIRAM SPA,2652,Details
EU493929,10-36,2019-03-05 01:34:49.309,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5012518,Stogit S.p.A.,12129,Details
EU493935,10-36,2019-03-05 01:34:49.305,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Leoni,5013146,A2A CALORE & SERVIZI Srl,1971,Details
