Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU515556,10-71,2019-04-18 09:15:11.285,Completed,France,100,CAPDEA Site d'Aulnay,5021827,CAPDEA,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,491,Details
EU515567,10-2,2019-04-18 09:15:09.669,Completed,Greece,100,ASBDEVETZ,5002347,ΑΣΒΕΣΤΟΠΟΙΙΑ ΔΕΒΕΤΖΟΓΛΟΥ ΑΒΕΕ,European Commission,100,EU Allowance deletion,5016380,European Commission,8649,Details
EU515555,10-2,2019-04-18 09:14:27.931,Completed,Germany,100,99 - Anlagenkonto,5015856,CEMEX Zement GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,1140546,Details
EU515579,10-72,2019-04-18 09:14:07.984,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,France,100,CAPDEA Site de Marigny,5021828,CAPDEA,1278,Details
EU515560,10-71,2019-04-18 09:13:09.417,Completed,France,100,CAPDEA Site de Marigny,5021828,CAPDEA,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,1278,Details
EU515524,10-2,2019-04-18 09:09:17.949,Completed,Croatia,100,Našicecement,5021716,NEXE d.d.,European Commission,100,EU Allowance deletion,5016380,European Commission,636897,Details
EU510112,10-2,2019-04-18 09:08:37.017,Completed,Italy,100,Sanac S.p.A. - Massa C.,5013613,SANAC S.p.A. in Amministrazione Straordinaria,European Commission,100,EU Allowance deletion,5016380,European Commission,7449,Details
EU515566,10-72,2019-04-18 09:08:35.499,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Slovakia,100,Výroba energií,5020156,"BUKÓZA ENERGO, a. s.",8963,Details
EU513733,10-71,2019-04-18 09:07:36.885,Completed,Slovakia,100,Výroba energií,5020156,"BUKÓZA ENERGO, a. s.",European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,8963,Details
EU510118,10-2,2019-04-18 09:07:16.174,Completed,Italy,100,Sanac S.p.A - Gattinara,5013614,SANAC S.p.A. in Amministrazione Straordinaria,European Commission,100,EU Allowance deletion,5016380,European Commission,3716,Details
EU513737,10-2,2019-04-18 09:05:43.828,Completed,Slovakia,100,Výroba energií,5020156,"BUKÓZA ENERGO, a. s.",European Commission,100,EU Allowance deletion,5016380,European Commission,199175,Details
EU510123,10-2,2019-04-18 09:05:26.136,Completed,Italy,100,Sanac S.p.A - Assemini,5013618,SANAC S.p.A. in Amministrazione Straordinaria,European Commission,100,EU Allowance deletion,5016380,European Commission,8931,Details
EU515523,10-2,2019-04-18 09:01:53.576,Completed,Netherlands,100,Uniper Centrale Leiden,5011428,Uniper Benelux N.V.,European Commission,100,EU Allowance deletion,5016380,European Commission,160910,Details
EU515525,10-2,2019-04-18 09:00:38.101,Completed,Netherlands,100,Uniper Centrale De Constant Rebecqueplein,5011429,Uniper Benelux N.V.,European Commission,100,EU Allowance deletion,5016380,European Commission,177006,Details
EU515530,10-2,2019-04-18 08:59:29.485,Completed,Netherlands,100,Uniper Centrale RoCa,5011430,Uniper Benelux N.V.,European Commission,100,EU Allowance deletion,5016380,European Commission,315590,Details
EU515532,10-2,2019-04-18 08:58:19.046,Completed,Netherlands,100,Warmte Station Galileïstraat,5011431,Uniper Benelux N.V.,European Commission,100,EU Allowance deletion,5016380,European Commission,1784,Details
EU515533,10-2,2019-04-18 08:57:08.238,Completed,Netherlands,100,Uniper Centrale Maasvlakte,5011432,Uniper Benelux N.V.,European Commission,100,EU Allowance deletion,5016380,European Commission,4866236,Details
EU515538,10-2,2019-04-18 08:56:45.121,Completed,Germany,100,Meissen Keramik GmbH,5020825,Meissen Keramik GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,8365,Details
EU515534,10-2,2019-04-18 08:56:04.696,Completed,Netherlands,100,Uniper HWC Bezuidenhout West,5011521,Uniper Benelux N.V.,European Commission,100,EU Allowance deletion,5016380,European Commission,7236,Details
EU515536,10-2,2019-04-18 08:54:50.319,Completed,Netherlands,100,Uniper HWC Blekerstraat,5011522,Uniper Benelux N.V.,European Commission,100,EU Allowance deletion,5016380,European Commission,37,Details
