Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU492298,10-36,2019-02-28 01:44:13.937,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Romania,100,S.C. URSUS BREWERIES S.A.-Timisoara,5010215,S.C. URSUS BREWERIES S.A. BUCURESTI-Sucursala Timisoara,2088,Details
EU492194,10-36,2019-02-28 01:44:13.752,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Czech Republic,100,"O-I Czech Republic, a.s.",5006698,"O-I Czech Republic, a.s.",19348,Details
EU492214,10-36,2019-02-28 01:44:13.37,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,France,100,SECANIM CENTRE,5005785,SECANIM Centre,9797,Details
EU492206,10-36,2019-02-28 01:44:13.158,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Czech Republic,100,Ethanol Energy (Cukrovar Vrdy),5007050,Ethanol Energy a.s.,27790,Details
EU491981,10-36,2019-02-28 01:44:12.847,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,France,100,CAH SELTZ,5023284,COMPTOIR AGRICOLE,1540,Details
EU492277,10-36,2019-02-28 01:44:12.645,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Norway,100,"Eramet Norway AS, Porsgrunn",5018840,Eramet Norway AS,53383,Details
EU492001,10-36,2019-02-28 01:44:12.527,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Czech Republic,100,ČEZ Teplárenská - parní plynová kotelna Elektrárna Ledvice,5023679,"ČEZ Teplárenská, a.s.",5865,Details
EU492032,10-36,2019-02-28 01:44:12.423,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,France,100,ENGIE ENERGIE SERVICES ST MICHEL SUR ORGE,5004992,ENGIE ENERGIE SERVICES,3916,Details
EU492169,10-36,2019-02-28 01:44:12.306,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,France,100,SAINT GOBAIN PAM BATIMENT - Site de Bayard,5022920,SAINT GOBAIN PAM BATIMENT,19020,Details
EU492011,10-36,2019-02-28 01:44:12.304,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,France,100,CLICHY ENERGIE VERTE - CEVE,5005379,CLICHY ENERGIE VERTE - CEVE,8088,Details
EU491988,10-36,2019-02-28 01:44:12.292,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,France,100,ARKEMA FRANCE LACQ,5020871,ARKEMA FRANCE,42312,Details
EU492031,10-36,2019-02-28 01:44:12.136,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Czech Republic,100,ČEZ - Elektrárna Temelín,5007014,"ČEZ, a. s.",118,Details
EU492234,10-36,2019-02-28 01:44:12.088,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,France,100,DALKIA - Centrale Thermique Les Cèdres,5005372,DALKIA,1355,Details
EU491967,10-36,2019-02-28 01:44:11.916,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,France,100,SEFIR Logis Verts,5004974,SEFIR,2444,Details
EU492071,10-36,2019-02-28 01:44:11.771,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Slovakia,100,Kvóty TEKO,5003432,"MH Teplárenský holding, a.s.",85225,Details
EU492295,10-36,2019-02-28 01:44:11.736,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,France,100,ENERGIVRY,5004820,ENERGIVRY,3512,Details
EU492050,10-36,2019-02-28 01:44:11.58,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,France,100,ARKEMA FRANCE Carling Saint Avold,5004701,ARKEMA FRANCE,178375,Details
EU491998,10-36,2019-02-28 01:44:10.715,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,France,100,ARKEMA FRANCE La Chambre,5005007,ARKEMA FRANCE,44625,Details
EU492205,10-36,2019-02-28 01:44:10.647,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,France,100,Usine de Gonfreville (UGO),5005696,TOTALENERGIES RAFFINAGE FRANCE,804450,Details
EU492171,10-36,2019-02-28 01:44:10.573,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Norway,100,OKEA ASA Brage,5012280,OKEA ASA,79479,Details
