Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU519281,10-2,2019-04-25 16:19:17.732,Completed,Hungary,100,Teva Gyógyszergyár Zrt Gödöllő,5022875,TEVA Gyógyszergyár ZRt.,European Commission,100,EU Allowance deletion,5016380,European Commission,4600,Details
EU519012,10-2,2019-04-25 16:16:15.889,Completed,Spain,100,Confirel A.I.E.,5008976,"Confirel, AIE",European Commission,100,EU Allowance deletion,5016380,European Commission,51020,Details
EU519255,10-2,2019-04-25 16:14:16.29,Completed,Spain,100,"Halcón Cerámicas, S.L.",5022177,"Halcón Cerámicas, S.L.",European Commission,100,EU Allowance deletion,5016380,European Commission,33563,Details
EU518102,10-0,2019-04-25 16:07:32.139,Completed,Estonia,100,Enefit Õlitööstud holding account,5022988,Enefit Power AS,Estonia,100,Operator Account:EE5,5016310,Enefit Power AS,2414199,Details
EU518841,10-2,2019-04-25 16:07:23.607,Completed,France,100,MADAGASCAR AIRLINES,5016696,MADAGASCAR AIRLINES,European Commission,100,EU Allowance deletion,5016380,European Commission,1687,Details
EU519273,10-2,2019-04-25 16:03:15.014,Completed,Netherlands,100,EdgeConneX Netherlands B.V.,5027241,EdgeConneX Netherlands B.V.,European Commission,100,EU Allowance deletion,5016380,European Commission,39,Details
EU518832,10-2,2019-04-25 16:03:02.738,Completed,Spain,100,"Tableros Hispanos, S.L.U.",5023961,"Tableros Hispanos, S.L.U.",European Commission,100,EU Allowance deletion,5016380,European Commission,34437,Details
EU519015,10-2,2019-04-25 16:00:51.18,Completed,Portugal,100,DS Smith Energia Viana S.A.,5002907,"Europa&c Energia Viana, S.A.",European Commission,100,EU Allowance deletion,5016380,European Commission,286880,Details
EU519271,10-0,2019-04-25 15:59:55.566,Completed,Spain,100,Santander Clientes,5017250,Banco Santander S.A.,Poland,100,PGE Dom Maklerski S.A.,5023795,PGE Dom Maklerski S.A.,14000,Details
EU519206,10-0,2019-04-25 15:58:03.346,Completed,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,Finland,100,Gasum Consulting Oy,5018688,Gasum Consulting Oy,11100,Details
EU519263,10-0,2019-04-25 15:57:45.694,Completed,United Kingdom,100,ED&F Man Capital Markets Ltd,5023256,E D & F MAN CAPITAL MARKETS LIMITED,Spain,100,"Global Factor Commodity Trading, S.A.U.",5016901,"Global Factor Commodity Trading, S.A.U.",3000,Details
EU519230,10-2,2019-04-25 15:56:50.235,Completed,Germany,100,1043 - Anlagenkonto,5014235,WMF GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,10491,Details
EU519027,10-2,2019-04-25 15:56:46.843,Completed,Netherlands,100,EdgeConneX Netherlands B.V.,5027241,EdgeConneX Netherlands B.V.,European Commission,100,EU Allowance deletion,5016380,European Commission,89,Details
EU519268,10-72,2019-04-25 15:56:38.653,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Netherlands,100,EdgeConneX Netherlands B.V.,5027241,EdgeConneX Netherlands B.V.,39,Details
EU519261,10-0,2019-04-25 15:56:17.553,Completed,United Kingdom,100,Newedge UK Financial Ltd,5016868,Societe Generale International Limited,Germany,100,ENGIE GLOBAL MARKETS,5016881,ENGIE Global Markets,99000,Details
EU519264,10-0,2019-04-25 15:56:14.607,Completed,United Kingdom,100,ED&F Man Capital Markets Ltd,5023256,E D & F MAN CAPITAL MARKETS LIMITED,Spain,100,"Global Factor Commodity Trading, S.A.U.",5016901,"Global Factor Commodity Trading, S.A.U.",1000,Details
EU519260,10-0,2019-04-25 15:55:48.885,Completed,Slovenia,100,Belektron TRD Si,5016820,BELEKTRON d.o.o.,Netherlands,100,FUTURES CLIENT TRADING ACCOUNT,5027936,Macquarie Bank Limited,41000,Details
EU519036,10-2,2019-04-25 15:55:48.237,Completed,Belgium,100,422 Tarkett,5024737,Tarkett,European Commission,100,EU Allowance deletion,5016380,European Commission,4786,Details
EU519034,10-71,2019-04-25 15:55:41.351,Completed,Netherlands,100,EdgeConneX Netherlands B.V.,5027241,EdgeConneX Netherlands B.V.,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,39,Details
EU519250,10-0,2019-04-25 15:54:35.916,Completed,United Kingdom,100,ED&F Man Capital Markets Ltd,5023256,E D & F MAN CAPITAL MARKETS LIMITED,United Kingdom,100,Redshaw Advisors,5023004,Louis Redshaw,8000,Details
