Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU516058,10-0,2019-04-18 14:38:49.952,Completed,France,100,BNP PARIBAS,5027964,BNP PARIBAS,Netherlands,100,BNP Paribas London Branch,5027681,BNP Paribas London Branch,25000,Details
EU516059,10-72,2019-04-18 14:38:16.687,Completed,European Commission,100,EU Credit Exchange Account - Aviation,5022592,EUROPEAN COMMISSION,France,100,AIR CORSICA,5000436,AIR CORSICA,2055,Details
EU514781,10-71,2019-04-18 14:37:28.175,Completed,France,100,AIR CORSICA,5000436,AIR CORSICA,European Commission,100,EU International Credit Account - Aviation,5022591,EUROPEAN COMMISSION,2055,Details
EU515980,10-2,2019-04-18 14:37:00.739,Completed,Bulgaria,100,Zaharen kombinat Plovdiv AD,5016179,Zaharen kombinat Plovdiv AD,European Commission,100,EU Allowance deletion,5016380,European Commission,472,Details
EU516052,10-0,2019-04-18 14:36:54.287,Completed,France,100,BNP PARIBAS,5027964,BNP PARIBAS,Italy,100,ENEL TRADE ITALIA,5016899,Enel Global Trading S.p.A.,104000,Details
EU514989,10-2,2019-04-18 14:36:41.518,Completed,France,100,COLOMIERS,5004906,BOUYER LEROUX,European Commission,100,EU Allowance deletion,5016380,European Commission,25334,Details
EU516044,10-2,2019-04-18 14:36:15.716,Completed,France,100,CIMENTS CALCIA Usine de Beaucaire,5005744,CIMENTS CALCIA,European Commission,100,EU Allowance deletion,5016380,European Commission,519121,Details
EU515171,10-0,2019-04-18 14:36:11.502,Completed,Spain,100,S.A. MINERA CATALANO ARAGONESA,5009720,S.A. MINERA CATALANO ARAGONESA,Spain,100,"Tierra Atomizada, S.A. - Factoría 1",5009155,"Tierra Atomizada, S.A",5996,Details
EU515977,10-2,2019-04-18 14:35:17.169,Completed,Bulgaria,100,Calcit J.S.C,5016178,Calcit J.S.C,European Commission,100,EU Allowance deletion,5016380,European Commission,108589,Details
EU515014,10-2,2019-04-18 14:35:09.051,Completed,France,100,GIRONDE,5005015,BOUYER LEROUX,European Commission,100,EU Allowance deletion,5016380,European Commission,19353,Details
EU515034,10-2,2019-04-18 14:33:33.111,Completed,France,100,MABLY,5005338,BOUYER LEROUX,European Commission,100,EU Allowance deletion,5016380,European Commission,18536,Details
EU515169,10-0,2019-04-18 14:33:28.619,Completed,Finland,100,NKCO2RR:FI297,5010353,Nordkalk Oy Ab,Finland,100,NKCO2TY:FI298,5010354,Nordkalk Oy Ab,2269,Details
EU515019,10-0,2019-04-18 14:33:23.549,Completed,Czech Republic,100,"ČEZ ESCO, a.s.",5024707,"ČEZ ESCO, a.s.",Czech Republic,100,Všeobecná fakultní nemocnice v Praze - Benátská,5007020,Všeobecná fakultní nemocnice v Praze,1789,Details
EU515973,10-2,2019-04-18 14:33:18.35,Completed,Bulgaria,100,INSA OIL EOOD,5016175,INSA OIL EOOD,European Commission,100,EU Allowance deletion,5016380,European Commission,8241,Details
EU516049,10-0,2019-04-18 14:33:14.356,Completed,France,100,BNP PARIBAS,5027964,BNP PARIBAS,Norway,100,DNB Markets Trading Account,5017497,DNB Bank ASA,125000,Details
EU515039,10-2,2019-04-18 14:32:06.905,Completed,France,100,SAINT MARCELLIN,5005547,BOUYER LEROUX,European Commission,100,EU Allowance deletion,5016380,European Commission,1612,Details
EU515161,10-0,2019-04-18 14:31:43.917,Completed,Romania,100,SC ENET SA Focsani,5010073,SC ENET SA Focsani,Romania,100,TDR Energy SRL,5024160,TDR Energy SRL,1465,Details
EU516046,10-0,2019-04-18 14:31:35.879,Completed,France,100,BNP PARIBAS,5027964,BNP PARIBAS,Italy,100,A2A S.p.A. Conto Scambio '19,5027765,A2A SPA,16000,Details
EU515024,10-0,2019-04-18 14:31:28.322,Completed,Czech Republic,100,"ČEZ ESCO, a.s.",5024707,"ČEZ ESCO, a.s.",Czech Republic,100,Všeobecná fakultní nemocnice v Praze - Wenzigova,5007021,Všeobecná fakultní nemocnice v Praze,2226,Details
EU515046,10-2,2019-04-18 14:30:33.595,Completed,France,100,LA SEGUINIERE,5005697,BOUYER LEROUX,European Commission,100,EU Allowance deletion,5016380,European Commission,22034,Details
