Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU505707,10-0,2019-04-03 15:56:37.598,Completed,Germany,100,GETEC heat & power GmbH,5022360,GETEC heat & power GmbH,Germany,100,Handelskonto der Rheinbraun Brennstoff GmbH,5015933,Rheinbraun Brennstoff GmbH,5235,Details
EU505468,10-71,2019-04-03 15:56:28.492,Completed,Portugal,100,"UMBELINO MONTEIRO, SA",5021741,"UMBELINO MONTEIRO, SA",European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,1641,Details
EU505706,10-72,2019-04-03 15:55:30.165,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Greece,100,KORINTHOS POWER,5016731,KORINTHOS POWER SA,29000,Details
EU503058,10-0,2019-04-03 15:55:22.695,Completed,Germany,100,HKW Reuter West,5014465,Vattenfall Wärme Berlin Aktiengesellschaft,Germany,100,HW Wallenroder Str (FHW Märkisches Viertel),5016086,Vattenfall Wärme Berlin Aktiengesellschaft,23508,Details
EU504967,10-71,2019-04-03 15:54:31.525,Completed,Greece,100,KORINTHOS POWER,5016731,KORINTHOS POWER SA,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,29000,Details
EU503061,10-0,2019-04-03 15:53:36.088,Completed,Germany,100,HKW Reuter West,5014465,Vattenfall Wärme Berlin Aktiengesellschaft,Germany,100,GuD-HKW Lichterfelde,5026979,Vattenfall Wärme Berlin Aktiengesellschaft,160661,Details
EU505694,10-2,2019-04-03 15:53:31.032,Completed,Belgium,100,223 TotalEnergies Polymers Antwerp,5004622,TotalEnergies Polymers Antwerp,European Commission,100,EU Allowance deletion,5016380,European Commission,29981,Details
EU505546,10-2,2019-04-03 15:52:01.287,Completed,Italy,100,SIRAM SPA,5012391,SIRAM SPA,European Commission,100,EU Allowance deletion,5016380,European Commission,18156,Details
EU505695,10-2,2019-04-03 15:51:31.658,Completed,Italy,100,Rizziconi Energia,5012978,Rizziconi Energia S.p.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,916268,Details
EU505682,10-0,2019-04-03 15:51:18.213,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,51000,Details
EU505700,10-0,2019-04-03 15:50:08.67,Completed,Germany,100,GETEC heat & power GmbH,5022360,GETEC heat & power GmbH,Germany,100,Handelskonto der Rheinbraun Brennstoff GmbH,5015933,Rheinbraun Brennstoff GmbH,1567,Details
EU504509,10-0,2019-04-03 15:49:39.767,Completed,France,100,SUCRERIE DE ROYE,5005336,SAINT LOUIS SUCRE SA,France,100,SUCRERIE D'EPPEVILLE,5005448,SAINT LOUIS SUCRE SA,1,Details
EU505627,10-2,2019-04-03 15:49:13.57,Completed,Italy,100,Operator Account,5012385,SIRAM SPA,European Commission,100,EU Allowance deletion,5016380,European Commission,5585,Details
EU505691,10-2,2019-04-03 15:47:50.661,Completed,Finland,100,Lohjan Biolämpö,5010785,Lohjan Biolämpö Oy,European Commission,100,EU Allowance deletion,5016380,European Commission,2331,Details
EU504651,10-0,2019-04-03 15:47:06.009,Completed,Portugal,100,"201-CMP - Cimentos Maceira e Pataias, S.A",5002871,"SECIL - Companhia Geral de Cal e Cimento, S.A",Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,37000,Details
EU505376,10-2,2019-04-03 15:46:04.495,Completed,Italy,100,Operator Account,5012383,SIRAM SPA,European Commission,100,EU Allowance deletion,5016380,European Commission,1179,Details
EU504661,10-0,2019-04-03 15:45:23.694,Completed,Germany,100,HW Hainerberg,5014021,ESWE Versorgungs AG,Germany,100,HW Europaviertel,5027905,ESWE Versorgungs AG,6000,Details
EU505661,10-2,2019-04-03 15:44:26.66,Completed,Poland,100,Kotłownia Zakładowa FABIOS S.A.,5002862,FABIOS S.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,15432,Details
EU505373,10-2,2019-04-03 15:42:00.504,Completed,Italy,100,Operator Account,5012380,EDISON FACILITY SOLUTIONS SPA,European Commission,100,EU Allowance deletion,5016380,European Commission,13233,Details
EU504655,10-0,2019-04-03 15:41:46.129,Completed,Germany,100,FutureCamp Climate GmbH Personenkonto,5016067,FutureCamp Climate GmbH,Germany,100,UniCredit Bank AG Trading Account,5016811,UniCredit Bank AG,2000,Details
