Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU516790,10-2,2019-04-26 13:46:51.214,Completed,France,100,CRISTAL UNION - Pulpe Haute Picardie,5022407,CRISTAL UNION,European Commission,100,EU Allowance deletion,5016380,European Commission,27429,Details
EU519680,10-2,2019-04-26 13:46:24.355,Completed,Netherlands,100,Kaas- en weipoederfabriek A-ware en Fonterra Heerenveen,5024028,A-ware Cheese Production B.V.,European Commission,100,EU Allowance deletion,5016380,European Commission,19597,Details
EU519721,10-72,2019-04-26 13:45:46.852,Completed,European Commission,100,EU Credit Exchange Account - Aviation,5022592,EUROPEAN COMMISSION,Spain,100,Vueling Airlines SA,5000693,"Vueling Airlines, S.A.",34433,Details
EU516795,10-2,2019-04-26 13:45:42.71,Completed,France,100,CRISTAL UNION - ETS D'ERSTEIN,5005587,CRISTAL UNION,European Commission,100,EU Allowance deletion,5016380,European Commission,35063,Details
EU518840,10-0,2019-04-26 13:45:39.578,Completed,Spain,100,"Ecotrade Solutions, S.L.",5022914,"Ecotrade Solutions, S.L.",Spain,100,"BUNGE IBERICA, S.A. - Fábrica de Barcelona",5009619,"BUNGE IBERICA, S.A.U.",40000,Details
EU519718,10-71,2019-04-26 13:44:38.783,Completed,Spain,100,Vueling Airlines SA,5000693,"Vueling Airlines, S.A.",European Commission,100,EU International Credit Account - Aviation,5022591,EUROPEAN COMMISSION,34433,Details
EU518839,10-0,2019-04-26 13:44:05.778,Completed,Denmark,100,Energi Danmark,5006414,ENERGI DANMARK A/S,Denmark,100,"NCC Industry A/S, Odense",5006416,NCC Industry A/S,2751,Details
EU519708,10-2,2019-04-26 13:43:38.182,Completed,Poland,100,Small Planet Airlines sp. z o.o.,5019353,Small Planet Airlines sp. z o.o.,European Commission,100,EU Allowance deletion,5016380,European Commission,1837,Details
EU516817,10-2,2019-04-26 13:43:36.725,Completed,France,100,CRISTAL UNION - SVI FONTAINE LE DUN,5005636,CRISTAL UNION,European Commission,100,EU Allowance deletion,5016380,European Commission,57389,Details
EU519715,10-0,2019-04-26 13:43:25.223,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Poland,100,SprintAir S.A.,5027336,SprintAir S.A.,5445,Details
EU519709,10-0,2019-04-26 13:41:54.288,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Spain,100,Central Solar Termosolar ASTE 1A,5017937,"Aries Solar Termoeléctrica, S,L",35,Details
EU516821,10-2,2019-04-26 13:41:31.009,Completed,France,100,CRISTAL UNION - SVI DE PITHIVIERS LE VIEIL,5005618,CRISTAL UNION,European Commission,100,EU Allowance deletion,5016380,European Commission,32850,Details
EU519713,10-2,2019-04-26 13:41:14.572,Completed,Norway,100,Equinor ASA Raffineri Mongstad,5012302,Equinor ASA,European Commission,100,EU Allowance deletion,5016380,European Commission,2129758,Details
EU519710,10-2,2019-04-26 13:41:04.198,Completed,Germany,100,European Air Transport Leipzig GmbH,5000601,European Air Transport Leipzig GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,894940,Details
EU519707,10-2,2019-04-26 13:40:45.209,Completed,Spain,100,"Cerámicas Calaf, S.A.",5009623,Cerámicas Calaf S.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,3432,Details
EU516824,10-2,2019-04-26 13:39:24.484,Completed,France,100,CRISTAL UNION - SVI SAINTE EMILIE,5005018,CRISTAL UNION,European Commission,100,EU Allowance deletion,5016380,European Commission,67291,Details
EU516829,10-2,2019-04-26 13:37:51.688,Completed,France,100,CRISTAL UNION - ETS DE SILLERY,5005902,CRISTAL UNION,European Commission,100,EU Allowance deletion,5016380,European Commission,88903,Details
EU516838,10-2,2019-04-26 13:35:28.751,Completed,France,100,CRISTAL UNION - SUCRERIE DE TOURY,5005834,CRISTAL UNION,European Commission,100,EU Allowance deletion,5016380,European Commission,75911,Details
EU516846,10-2,2019-04-26 13:33:48.163,Completed,France,100,CRISTAL UNION - CRISTANOL,5022529,CRISTAL UNION,European Commission,100,EU Allowance deletion,5016380,European Commission,34676,Details
EU518805,10-0,2019-04-26 13:32:13.189,Completed,United Kingdom,100,Redshaw Advisors,5023004,Louis Redshaw,Netherlands,100,"ENGIE E&P Nederland B.V., K12-B platform",5011436,Neptune Energy Netherlands B.V.,38,Details
